id,name,grandslamFinals,grandSlamTitles,list
200348,Hana Mandlikova,8,4,"('Australian Open', 'Roland Garros', 'US Open', 'Australian Open')"
200209,Wendy Turnbull,1,0,()
200259,Chris Evert,19,9,"('Roland Garros', 'US Open', 'Wimbledon', 'Australian Open', 'US Open', 'Roland Garros', 'Australian Open', 'Roland Garros', 'Roland Garros')"
200337,Virginia Ruzici,1,0,()
200150,Evonne Cawley,1,1,"('Wimbledon',)"
200293,Martina Navratilova,23,15,"('Australian Open', 'Roland Garros', 'Wimbledon', 'Australian Open', 'Wimbledon', 'US Open', 'Roland Garros', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'Wimbledon', 'US Open', 'Wimbledon', 'US Open')"
200366,Sylvia Hanika,1,0,()
200397,Tracy Austin,1,1,"('US Open',)"
200381,Andrea Jaeger,2,0,()
200389,Kathy Jordan,1,0,()
200371,Mima Jausovec,1,0,()
200377,Helena Sukova,2,0,()
200414,Steffi Graf,7,5,"('Roland Garros', 'Australian Open', 'Roland Garros', 'Wimbledon', 'US Open')"
200116,Natalia Zvereva,1,0,()
200572,Gabriela Sabatini,1,0,()
