id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches,hard,clay,grass
214544,Aryna Sabalenka,0.06783571758191048,0.0641439778495616,0.7076566125290024,0.5909712722298222,0.625,0.4758364312267658,32,14,11,0
206289,Maria Sakkari,0.0615748963883955,0.054470100651272946,0.6723618090452261,0.5564924114671164,0.6368159203980099,0.4331983805668016,25,12,4,0
206368,Veronika Kudermetova,0.08139534883720931,0.046511627906976744,0.675,0.6111111111111112,0.3333333333333333,0.5555555555555556,1,1,0,0
216146,Marta Kostyuk,0.08571428571428572,0.08571428571428572,0.6086956521739131,0,0.4444444444444444,0.6666666666666667,1,0,0,0
213550,Sofia Kenin,0.02482876712328767,0.05393835616438356,0.62,0.5706051873198847,0.6143790849673203,0.4140625,15,7,0,0
214981,Elena Rybakina,0.05785123966942149,0.04049586776859504,0.6662030598052852,0.5277777777777778,0.6106870229007634,0.4765625,17,6,2,0
204427,Sara Sorribes Tormo,0.0,0.0,0.44642857142857145,0,0.2222222222222222,0.5833333333333333,1,0,0,0
202494,Elina Svitolina,0.04361799816345271,0.03764921946740129,0.6684615384615384,0.5141388174807198,0.5897435897435898,0.48484848484848486,28,13,6,0
201709,Yulia Putintseva,0.044444444444444446,0.044444444444444446,0.6363636363636364,0.8421052631578947,0.5833333333333334,0.41666666666666663,1,0,0,0
202469,Garbine Muguruza,0.04591029023746702,0.03430079155672823,0.6703557312252965,0.5765765765765766,0.6174863387978142,0.4858156028368794,31,21,3,0
202460,Ons Jabeur,0.06896551724137931,0.05172413793103448,0.5,0.6428571428571429,0.4444444444444444,0.6666666666666667,1,0,0,0
214082,Darya Kasatkina,0.0,0.08928571428571429,0.65625,0.8181818181818182,0.625,1.0,1,0,0,0
214461,Tamara Zidansek,0.0,0.022727272727272728,0.4375,0,0.5,0,1,0,0,0
214181,Anastasia Gasanova,0.0,0.029411764705882353,0.5098039215686274,0,0.4,0.5714285714285714,1,0,0,0
211651,Paula Badosa,0.06329113924050633,0.10126582278481013,0.6739130434782609,0,0.36363636363636365,0.4,1,0,0,0
206420,Ekaterina Alexandrova,0.008849557522123894,0.07079646017699115,0.576271186440678,0.6956521739130435,0.46153846153846156,0.26315789473684215,1,0,0,0
201465,Kirsten Flipkens,0.06097560975609756,0.036585365853658534,0.5172413793103449,0.8461538461538461,0.5833333333333334,0.7142857142857143,1,0,0,0
206252,Barbora Krejcikova,0.034482758620689655,0.011494252873563218,0.5932203389830508,0.7333333333333333,0.8125,0.1428571428571429,1,0,0,0
221103,Cori Gauff,0.015151515151515152,0.09090909090909091,0.5135135135135135,0.7692307692307693,0.5384615384615384,0.33333333333333337,1,0,0,0
205925,Aliaksandra Sasnovich,0.016129032258064516,0.03225806451612903,0.4666666666666667,0,0.5333333333333333,0.4285714285714286,1,0,0,0
201548,Ajla Tomljanovic,0.047058823529411764,0.058823529411764705,0.559322033898305,0,0.36363636363636365,0.5555555555555556,1,0,0,0
201435,Kateryna Bondarenko,0.009900990099009901,0.04950495049504951,0.6153846153846154,0.6,0.6428571428571429,0.19999999999999996,1,0,0,0
214096,Karolina Muchova,0.046511627906976744,0.03276955602536998,0.6612377850162866,0.584717607973422,0.5714285714285714,0.46564885496183206,15,7,3,0
216016,Xiyu Wang,0.09433962264150944,0.03773584905660377,0.78125,0.8333333333333334,0.3333333333333333,0.0,1,0,0,0
201444,Su Wei Hsieh,0.0,0.0392156862745098,0.5555555555555556,0,0.42857142857142855,0.75,1,0,0,0
220367,Leylah Annie Fernandez,0.0,0.12962962962962962,0.7142857142857143,0,0.2,0.33333333333333337,1,0,0,0
211095,Bernarda Pera,0.007936507936507936,0.1111111111111111,0.5769230769230769,0.8888888888888888,0.6,0.375,1,0,0,0
201662,Karolina Pliskova,0.09043173862310384,0.07992998833138856,0.6786729857819905,0.547945205479452,0.5846153846153846,0.42995169082125606,23,7,7,0
201427,Alize Cornet,0.014492753623188406,0.014492753623188406,0.64,0,0.625,0.25,1,0,0,0
213926,Bianca Turati,0.0,0.12903225806451613,0.6097560975609756,0,0.5,0.0,1,0,0,0
201586,Heather Watson,0.08,0.06,0.7049180327868853,0.8421052631578947,0.5,0.33333333333333337,1,0,0,0
201329,Vera Zvonareva,0.018867924528301886,0.07547169811320754,0.575,0,0.16666666666666666,0.5,1,0,0,0
206107,Zhaoxuan Yang,0.043478260869565216,0.07608695652173914,0.5614035087719298,0.6875,0.75,0.125,1,0,0,0
201696,Laura Siegemund,0.020833333333333332,0.10416666666666667,0.6833333333333333,0,0.5,0.3846153846153846,1,0,0,0
211222,Jamie Loeb,0.045454545454545456,0.022727272727272728,0.6296296296296297,0,0.3333333333333333,0,1,0,0,0
203354,Martina Trevisan,0.01818181818181818,0.07272727272727272,0.7272727272727273,0.8181818181818182,0.5714285714285714,0.0,1,0,0,0
215713,Anastasia Potapova,0.014285714285714285,0.08571428571428572,0.6060606060606061,0.47368421052631576,0.625,0.0,1,0,0,0
205918,Ulrikke Eikeri,0.0,0.08888888888888889,0.38461538461538464,0,0.45454545454545453,0.0,1,0,0,0
214388,Anna Bondar,0.0,0.03571428571428571,0.5128205128205128,1.0,0.5,0.0,1,0,0,0
201540,Kristina Mladenovic,0.0,0.18032786885245902,0.6071428571428571,0.6,0.5454545454545454,0.19999999999999996,1,0,0,0
201555,Polona Hercog,0.04,0.08,0.5151515151515151,0.5,0.5833333333333334,0.33333333333333337,1,0,0,0
202684,Lin Zhu,0.029411764705882353,0.058823529411764705,0.5833333333333334,0.8333333333333334,0.5,0.33333333333333337,1,0,0,0
