id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches
101723,Magnus Larsson,0.08233652904336469,0.02932533911133537,0.7362780728729849,0.5647100739289214,0.6426536426536427,0.3997276132107592,452
101414,Boris Becker,0.1232304685186282,0.056654622993543804,0.7984091730799029,0.5810172206647978,0.6695116168800379,0.4027061855670103,440
100946,Slobodan Zivojinovic,0.14349112426035504,0.03550295857988166,0.7628865979381443,0.6008064516129032,0.7333333333333333,0.40909090909090906,12
101256,Mark Kratzmann,0.045941807044410414,0.04900459418070444,0.7147335423197492,0.5833333333333334,0.5740740740740741,0.19999999999999996,8
101234,Patrik Kuhnen,0.0648854961832061,0.05006735518634935,0.7011968633924887,0.47971095052807117,0.5841584158415841,0.34980988593155893,54
101421,Veli Paloheimo,0.02038216560509554,0.03184713375796178,0.5956607495069034,0.4495798319327731,0.5677966101694916,0.31506849315068497,11
101889,Todd Woodbridge,0.03841467784705798,0.05203182111373898,0.6977263132501056,0.5556906861254687,0.6018518518518519,0.4297551789077213,350
101703,Guillaume Raoux,0.05003652300949598,0.04136230825420015,0.6913451511991658,0.5213530655391121,0.5467032967032966,0.29749103942652333,134
101274,Udo Riglewski,0.04467912266450041,0.041429731925264016,0.6500691562932227,0.46485260770975056,0.5138888888888888,0.3950617283950617,18
101843,Sergi Bruguera,0.05149123980205965,0.022896883776915875,0.7019678805700068,0.5458521346754599,0.5989110707803993,0.4576598311218335,553
102148,Fabrice Santoro,0.039487296382669075,0.02866861882134278,0.6767495591901258,0.5517762660619804,0.6049382716049383,0.4212632677918914,752
101285,Thierry Champion,0.017286914765906363,0.01680672268907563,0.5661764705882353,0.49105691056910566,0.47692307692307695,0.39498432601880873,58
101900,Nicklas Kulti,0.05905464936301941,0.04190975116085248,0.6887117621714778,0.4907271121577863,0.5592105263157895,0.31215970961887474,106
102000,Aki Rahunen,0.011928429423459244,0.0536779324055666,0.5794701986754967,0.45962732919254656,0.48,0.3157894736842105,8
101529,Michael Stich,0.0996579458260146,0.046963113617454005,0.7823029113509977,0.5947857880931563,0.6736792893875643,0.4124352331606218,459
101179,Jean Philippe Fleurian,0.03851851851851852,0.040740740740740744,0.6297909407665505,0.49746835443037973,0.5688259109311741,0.3232758620689655,50
101332,Gilad Bloom,0.030843373493975902,0.03469879518072289,0.6316998468606432,0.5183553597650514,0.5606694560669456,0.36170212765957444,32
101776,Sandon Stolle,0.0740015661707126,0.06734534064212999,0.7074737910043963,0.5013989927252378,0.5614035087719298,0.3087248322147651,62
101727,Jason Stoltenberg,0.06976509049239998,0.044487883792255066,0.7387791212031849,0.5490299359143184,0.6181307661452066,0.42876665527844204,393
101797,Jacco Eltingh,0.095374539500614,0.045728319981287645,0.7398952095808383,0.5570183241416118,0.6385809312638581,0.3689320388349514,217
101061,Jimmy Arias,0.024988641526578828,0.038391640163562016,0.6409505208333334,0.5666089965397924,0.5833333333333334,0.4330357142857143,59
101511,Horst Skoff,0.04388899822869514,0.03355638653808306,0.6710261569416499,0.5603224128965159,0.5870646766169154,0.4174147217235189,156
101185,Mark Woodforde,0.05861105431745383,0.0435153002112724,0.7195789223266326,0.5522547362803523,0.6260038240917782,0.39882393635420266,383
101440,Mark Koevermans,0.0380952380952381,0.03439153439153439,0.627689429373246,0.462787550744249,0.48484848484848486,0.3309352517985612,27
101441,Martin Sinner,0.04669631512071156,0.07433290978398983,0.6798603026775321,0.5329391891891891,0.515625,0.28,44
101117,Eric Jelen,0.020224719101123594,0.03670411985018727,0.6002227171492205,0.512,0.573170731707317,0.3647058823529412,19
101235,Paul Haarhuis,0.05700084602368866,0.028377044557247603,0.7081698389458272,0.5500524859242294,0.6183832581042266,0.4327881930594336,387
101242,Brad Pearce,0.012939001848428836,0.036968576709796676,0.6012084592145015,0.5168539325842697,0.4931506849315068,0.38636363636363635,9
101793,Jim Courier,0.06556345865389268,0.03200754826535056,0.7471770111362044,0.5857013195559589,0.6385408990420044,0.42928411075081063,558
101123,Alexander Mronz,0.0726764500349406,0.04262753319357093,0.7016539440203562,0.5074235807860262,0.5284280936454849,0.2890625,39
101320,Magnus Gustafsson,0.03885115353085841,0.04488230471952219,0.6874859481091776,0.5789219940217916,0.6044429708222812,0.4423879040667362,483
101377,Christian Bergstrom,0.029450883526505794,0.02926087782633479,0.6066686338152848,0.4844574780058651,0.5258764607679466,0.3643410852713178,67
101772,Andrei Cherkasov,0.03105242544620377,0.028143009008000895,0.6642518807467261,0.5362560679611651,0.5918367346938775,0.4237385321100917,252
101265,Patrick McEnroe,0.02440503259057147,0.04107927845990602,0.615267947421638,0.49978840457046125,0.5635696821515892,0.33333333333333337,84
101214,Bryan Shelton,0.09165335463258786,0.06669329073482429,0.7070530726256983,0.5567356064840693,0.5926680244399185,0.21851851851851856,63
101432,Dimitri Poliakov,0.023844282238442822,0.042335766423357665,0.6195840554592721,0.4873417721518987,0.5503597122302158,0.32183908045977017,25
100790,Bruce Derlin,0.0,0.00625,0.49572649572649574,0.6538461538461539,0.46153846153846156,0.2666666666666667,2
101439,Javier Sanchez,0.030230109790946008,0.03414047225146639,0.6246804554961655,0.4918420430361788,0.5327284510693454,0.3269035532994924,167
100857,Sergio Casal,0.038461538461538464,0.019230769230769232,0.6627218934911243,0.6231884057971014,0.391304347826087,0.36,3
101735,Richard Fromberg,0.08659657256395396,0.04503684079807931,0.7062446290461186,0.4947159841479524,0.5776347546259051,0.31119791666666663,149
101955,Luis Herrera,0.014186851211072665,0.03460207612456748,0.6026563364692861,0.5396498455200824,0.5504587155963303,0.35922330097087374,42
