id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches,hard,clay,grass
201506,Sara Errani,0.0013903601694915254,0.025158898305084745,0.5477541754499756,0.4948282995448904,0.509985387238188,0.5328852616418627,234,48,71,6
201347,Jelena Jankovic,0.04149150063973679,0.0525498080789618,0.6470846762379139,0.548908420754182,0.562242374278648,0.4793328498912255,184,55,23,13
201419,Na Li,0.030629853321829163,0.05220017256255392,0.6562703053931124,0.6027820710973725,0.6069868995633187,0.5540983606557377,34,24,5,2
201458,Victoria Azarenka,0.04102395799146702,0.063423039054808,0.6627605772788948,0.5474962063732929,0.5765151515151515,0.4894117647058823,200,93,23,14
201520,Petra Kvitova,0.06731216832697141,0.06586909971138628,0.7027272727272728,0.6038203557888597,0.5921875,0.44560896277556916,345,155,52,29
201493,Angelique Kerber,0.02190134312104223,0.04226999556326382,0.6428615327883965,0.5527267854750101,0.5758384146341463,0.471320182094082,392,164,43,46
201474,Agnieszka Radwanska,0.03552648454533795,0.022636911632679235,0.6545014618409114,0.5093167701863354,0.5709112854556427,0.5083612040133779,266,120,18,27
200033,Serena Williams,0.1277977341807129,0.05125725338491296,0.7541059988351776,0.5795410346168806,0.6157941437444543,0.47203140333660454,249,139,40,28
205925,Aliaksandra Sasnovich,0.0,0.07936507936507936,0.5961538461538461,0,0.5,0.2727272727272727,1,0,0,0
202628,Maryna Zanevska,0.0,0.02127659574468085,0.7575757575757576,1.0,0.6666666666666666,0.33333333333333337,1,0,1,0
202536,Ana Bogdan,0.0,0.0,0.5510204081632653,1.0,0.6666666666666666,0.33333333333333337,1,0,0,0
214082,Darya Kasatkina,0.020258385394553283,0.056711348335051856,0.5950803303984751,0.534452296819788,0.5162700339970859,0.48008849557522126,241,83,38,10
202434,Aleksandra Krunic,0.0,0.046875,0.48717948717948717,0.6666666666666666,0.5,0.33333333333333337,1,0,0,0
201504,Julia Goerges,0.08701102000313365,0.04956390034992427,0.7193643211464266,0.5461643835616439,0.6013363028953229,0.4327485380116959,278,110,37,17
203552,Risa Ozaki,0.016666666666666666,0.05,0.5454545454545454,0,0.3333333333333333,0.25,1,0,0,0
201498,Karin Knapp,0.021739130434782608,0.08695652173913043,0.7758620689655172,0.75,0.6666666666666666,0.375,1,0,1,0
201481,Tamira Paszek,0.0,0.08823529411764706,0.5967741935483871,0.6818181818181818,0.625,0.33333333333333337,1,0,0,0
201596,Johanna Larsson,0.015873015873015872,0.047619047619047616,0.6862745098039216,0,1.0,0.4,1,0,1,0
201527,Stefanie Voegele,0.03773584905660377,0.09433962264150944,0.625,0.8888888888888888,0.6,0.0,1,0,0,0
201555,Polona Hercog,0.09615384615384616,0.07692307692307693,0.7777777777777778,0.5625,0.75,0.5,1,0,1,0
201693,Timea Babos,0.04081632653061224,0.061224489795918366,0.6388888888888888,0,0.5,0.25,1,0,0,0
201556,Lucie Hradecka,0.18518518518518517,0.018518518518518517,0.8125,0.8888888888888888,0.8,0.625,1,0,1,0
202418,Lara Arruabarrena,0.03278688524590164,0.04918032786885246,0.5609756097560976,1.0,0.375,0.19999999999999996,1,0,0,0
203533,Anna Karolina Schmiedlova,0.06172839506172839,0.04938271604938271,0.6730769230769231,0.6666666666666666,0.75,0.3571428571428571,1,0,1,0
201537,Patricia Mayr Achleitner,0.0,0.03614457831325301,0.5757575757575758,0,0.6428571428571429,0.25,1,0,0,0
202671,Cristina Andreea Mitu,0.0,0.05755395683453238,0.5566037735849056,0.9375,0.7083333333333334,0.32258064516129037,1,0,1,0
202482,Barbara Haas,0.0,0.058394160583941604,0.5148514851485149,1.0,0.6774193548387096,0.29166666666666663,1,0,0,0
202470,Annika Beck,0.0,0.08,0.45,0,0.3333333333333333,0.4444444444444444,1,0,1,0
202694,Teliana Pereira,0.0,0.0967741935483871,0.4,0,0.5555555555555556,0.6666666666666667,1,0,0,0
202653,Denisa Allertova,0.056818181818181816,0.07954545454545454,0.7258064516129032,0,0.5,0.33333333333333337,1,0,1,0
202489,Carina Witthoeft,0.035398230088495575,0.04424778761061947,0.6164383561643836,0.6956521739130435,0.6666666666666666,0.5,1,0,0,0
203575,Danka Kovinic,0.06896551724137931,0.08620689655172414,0.7428571428571429,0.7142857142857143,0.3333333333333333,0.4444444444444444,1,0,1,0
211701,Katerina Siniakova,0.0,0.1694915254237288,0.6451612903225806,0.625,0.5555555555555556,0.6666666666666667,1,0,0,0
202480,Richel Hogenkamp,0.03571428571428571,0.05357142857142857,0.7037037037037037,0.5625,0.75,0.6,1,0,1,0
201549,Petra Martic,0.04315977034250643,0.038309245693921995,0.6544347282948157,0.5511501210653753,0.5996343692870201,0.42938775510204086,148,40,35,10
201344,Klara Koukalova,0.00945520036019811,0.08824853669518234,0.606280193236715,0.5750636132315522,0.48859934853420195,0.4440677966101695,39,5,5,3
204431,Anna Lena Friedsam,0.03333333333333333,0.03333333333333333,0.7619047619047619,1.0,0.0,0.7142857142857143,1,0,0,0
201325,Samantha Stosur,0.05930603476336176,0.05448864006249593,0.6624585428479726,0.557383394619702,0.578031212484994,0.4253450439146801,234,44,58,10
201545,Anastasija Sevastova,0.03504658851818455,0.03288247670574091,0.638936621853836,0.5138416707139388,0.5530903328050714,0.48569994982438536,246,68,53,19
201499,Anastasia Pavlyuchenkova,0.03631136194228517,0.06373123203066766,0.6483544091784608,0.5413267115998581,0.5446995603321935,0.4522434473567304,274,107,30,9
206404,Elizaveta Kulichkova,0.0425531914893617,0.05319148936170213,0.6226415094339622,0.6521739130434783,0.16666666666666666,0.33333333333333337,1,0,0,0
201435,Kateryna Bondarenko,0.029411764705882353,0.058823529411764705,0.673469387755102,0.8888888888888888,0.9,0.5,1,1,0,0
