id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches
201506,Sara Errani,0.001301447860745079,0.021555230193590368,0.5565749235474006,0.5075560187597707,0.5306748466257669,0.5448392554991539,196
201347,Jelena Jankovic,0.04065659310794652,0.051092510055440805,0.6551843517396573,0.5575221238938053,0.5701311806256307,0.4924874791318865,159
201419,Na Li,0.030629853321829163,0.05220017256255392,0.6562703053931124,0.6027820710973725,0.6069868995633187,0.5540983606557377,34
201458,Victoria Azarenka,0.04132727428620424,0.06336277115664923,0.6666237776634071,0.5517680790060528,0.5833333333333334,0.4906682721252258,189
201520,Petra Kvitova,0.06831214161057093,0.06527050610820244,0.7083874107722258,0.6099235450148229,0.5966435185185185,0.44986656500190625,325
201493,Angelique Kerber,0.022230674950340222,0.04179874054351042,0.6473731650785475,0.5564595314910927,0.5820835022294285,0.47462406015037595,375
201474,Agnieszka Radwanska,0.03663556531284303,0.02188529088913282,0.6588946459412781,0.5148475120385233,0.5810276679841897,0.5132301547678482,251
200033,Serena Williams,0.12863041500454894,0.0515081531247813,0.7539804222196014,0.5796329188869154,0.6161434977578475,0.4737883283877349,245
205925,Aliaksandra Sasnovich,0.025233132199670872,0.06774547449259462,0.5756637168141593,0.5105633802816901,0.4686868686868687,0.33919597989949746,53
202628,Maryna Zanevska,0.02127659574468085,0.125,0.5770925110132159,0.5306122448979592,0.4852941176470588,0.4,6
202536,Ana Bogdan,0.030612244897959183,0.034371643394199784,0.5556478405315615,0.47700170357751276,0.48854961832061067,0.32432432432432434,29
214082,Darya Kasatkina,0.020831905708216268,0.054752278489686834,0.5993070416794049,0.548565676899849,0.5243488108720272,0.4922923918448533,215
202434,Aleksandra Krunic,0.01924447612259444,0.031004989308624376,0.5632839224629419,0.4722513089005236,0.49242424242424243,0.29889298892988925,43
201504,Julia Goerges,0.09148897393839986,0.04859972055160683,0.7270405448547409,0.5574216250799744,0.6197278911564625,0.4358126721763086,242
203552,Risa Ozaki,0.008152173913043478,0.03170289855072464,0.5215123859191656,0.4781144781144781,0.4601226993865031,0.4505494505494505,18
201498,Karin Knapp,0.04056795131845842,0.07640297498309669,0.6046770601336303,0.5064935064935064,0.4472361809045226,0.4070796460176991,23
201481,Tamira Paszek,0.01160541586073501,0.05029013539651837,0.572289156626506,0.5,0.4722222222222222,0.4418604651162791,7
201596,Johanna Larsson,0.02185792349726776,0.060684498130572334,0.5474060822898033,0.4970817120622568,0.4904580152671756,0.3573667711598746,54
201527,Stefanie Voegele,0.03880440482433141,0.03880440482433141,0.6035120147874307,0.47043010752688175,0.5203252032520326,0.32089552238805974,27
201555,Polona Hercog,0.036260623229461754,0.05155807365439093,0.6131846825012118,0.50625,0.5512820512820513,0.4015151515151515,51
201693,Timea Babos,0.04829093799682035,0.05246422893481717,0.6185400516795866,0.4831932773109244,0.5031446540880503,0.3341176470588235,71
201556,Lucie Hradecka,0.0699177438307873,0.07109283196239718,0.6849775784753364,0.4874446085672083,0.5398230088495575,0.34013605442176875,27
202418,Lara Arruabarrena,0.017710309930423784,0.03984819734345351,0.5599400599400599,0.48148148148148145,0.5345911949685535,0.38306451612903225,48
203533,Anna Karolina Schmiedlova,0.023529411764705882,0.07647058823529412,0.575139146567718,0.4842681258549932,0.5037783375314862,0.3565891472868217,39
201537,Patricia Mayr Achleitner,0.007692307692307693,0.046153846153846156,0.5510204081632653,0.9444444444444444,0.6,0.30000000000000004,2
202671,Cristina Andreea Mitu,0.010964912280701754,0.07236842105263158,0.567741935483871,0.625,0.5441176470588235,0.2909090909090909,7
202482,Barbara Haas,0.021141649048625793,0.07399577167019028,0.5529801324503312,0.49193548387096775,0.5681818181818182,0.375,6
202470,Annika Beck,0.010296010296010296,0.05577005577005577,0.5023923444976076,0.4393939393939394,0.4262734584450402,0.41984732824427484,37
202694,Teliana Pereira,0.015424164524421594,0.02570694087403599,0.515702479338843,0.46551724137931033,0.46875,0.4098360655737705,16
202653,Denisa Allertova,0.02334851936218679,0.0785876993166287,0.5731153496821072,0.5392156862745098,0.4898785425101215,0.3984375,27
202489,Carina Witthoeft,0.022166457549142617,0.07026348808030113,0.572709801409353,0.49230769230769234,0.4688427299703264,0.35930735930735935,38
203575,Danka Kovinic,0.041601255886970175,0.061224489795918366,0.6227501799856011,0.48848848848848847,0.5128939828080229,0.36714975845410625,41
211701,Katerina Siniakova,0.027608607389362567,0.055217214778725134,0.5708053691275168,0.4904306220095694,0.5117565698478561,0.38888888888888884,75
202480,Richel Hogenkamp,0.022157996146435453,0.05394990366088632,0.5946843853820598,0.5135135135135135,0.464,0.4516129032258065,15
201549,Petra Martic,0.04384133611691023,0.036589385781782224,0.6580812445980986,0.5530913978494624,0.6096807415036045,0.4391534391534392,132
201344,Klara Koukalova,0.010301692420897719,0.094186902133922,0.6128608923884514,0.6207627118644068,0.48404255319148937,0.45273631840796025,26
204431,Anna Lena Friedsam,0.039776258545680544,0.04723430702299565,0.5994152046783626,0.48514851485148514,0.5412844036697247,0.408695652173913,23
201325,Samantha Stosur,0.060887846688768496,0.05522762189698391,0.671918814260916,0.5675029868578255,0.5884615384615385,0.44092219020172907,193
201545,Anastasija Sevastova,0.037369744879626306,0.031045634207689545,0.652992277992278,0.5207649217693645,0.5702917771883289,0.49508954361640667,205
201499,Anastasia Pavlyuchenkova,0.03715189480865844,0.06400793896917448,0.6535417684416219,0.5511340206185567,0.5541252194265652,0.4575590155700653,240
206404,Elizaveta Kulichkova,0.03651685393258427,0.09129213483146068,0.6091370558375635,0.5375,0.5106382978723404,0.38095238095238093,11
