id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches,hard,clay,grass
103163,Tommy Haas,0.09506311859183311,0.04850945297220411,0.7525481313703284,0.5922008209662141,0.6178926441351889,0.40781594705326185,480,197,55,37
101543,Jeff Tarango,0.0660377358490566,0.07547169811320754,0.7090909090909091,0.5862068965517241,0.5714285714285714,0.4,1,0,0,0
102607,Juan Balcells,0.06578947368421052,0.039473684210526314,0.75,0.9230769230769231,0.8333333333333334,0.5,1,1,0,0
102644,Franco Squillari,0.04902219873150106,0.06283033826638477,0.6937998333928359,0.5634535367545076,0.5981554677206851,0.4016872160934458,206,21,74,1
103252,Alberto Martin,0.0,0.0,0.7142857142857143,0.6666666666666666,1.0,0.36363636363636365,1,1,0,0
102238,Alberto Berasategui,0.0,0.10714285714285714,0.6060606060606061,0,0.6363636363636364,0.0,1,0,0,0
103507,Juan Carlos Ferrero,0.05454418799052617,0.03058096874564622,0.6978889873043992,0.589183283255941,0.6315352697095435,0.3947833775419982,567,145,161,38
103819,Roger Federer,0.09609343238348671,0.026628968473962376,0.7619349005424955,0.6056873010984498,0.6713629402756508,0.4174706191896158,737,336,115,118
102103,Michael Sell,0.01020408163265306,0.02040816326530612,0.5909090909090909,0.9285714285714286,0.5454545454545454,0.4444444444444444,1,1,0,0
102765,Nicolas Escude,0.0891483331083817,0.04663247401808611,0.7408348457350272,0.5664156110920917,0.6032786885245902,0.40504555010511567,206,69,11,30
102021,Michael Chang,0.04950495049504951,0.0297029702970297,0.7627118644067796,0.8947368421052632,0.25,0.6,1,1,0,0
101647,Byron Black,0.02857142857142857,0.02857142857142857,0.6307692307692307,0.8095238095238095,0.4,0.75,1,0,0,0
101320,Magnus Gustafsson,0.06666666666666667,0.13333333333333333,0.9032258064516129,0.7142857142857143,0.6666666666666666,0.25,1,1,0,0
103066,Mark Nielsen,0.014492753623188406,0.07246376811594203,0.6222222222222222,0.8333333333333334,0.75,0.33333333333333337,1,0,0,0
102563,Thomas Johansson,0.10911525523367843,0.0326594598125347,0.7603166986564299,0.5534070693789156,0.6306984525303221,0.4133663366336634,413,126,26,59
102785,Glenn Weiner,0.109375,0.046875,0.5853658536585366,0.6923076923076923,0.5,0.5,1,0,0,0
102854,Sjeng Schalken,0.04583187696609577,0.039103460328556446,0.6900189342710306,0.5826388888888889,0.576235541535226,0.4153913423699169,322,96,26,45
101964,Goran Ivanisevic,0.18197573656845753,0.07105719237435008,0.7944746755964839,0.582356570018507,0.6308139534883721,0.3992015968063872,118,32,0,14
102494,Tomas Behrend,0.07317073170731707,0.024390243902439025,0.8214285714285714,0.8,1.0,0.4444444444444444,1,1,0,0
103082,Markus Hantschk,0.0,0.047619047619047616,0.7241379310344828,0.7272727272727273,0.5555555555555556,0.0,1,0,0,0
103292,Gaston Gaudio,0.03557810578105781,0.038837638376383765,0.6721441298752723,0.5581627106359848,0.5848818897637795,0.4221357063403782,438,46,189,12
102227,Sargis Sargsian,0.01818181818181818,0.045454545454545456,0.6909090909090909,0.6538461538461539,0.375,0.3076923076923077,1,0,0,0
