country,n_players,players
CRC,1,['Juan Antonio Marin']
ITA,15,"['Gianluca Pozzi', 'Laurence Tieleman', 'Andrea Gaudenzi', 'Davide Sanguinetti', 'Federico Luzzi', 'Filippo Volandri', 'Potito Starace', 'Alessio Di Mauro', 'Andreas Seppi', 'Daniele Bracciali', 'Stefano Galvani', 'Simone Bolelli', 'Fabio Fognini', 'Flavio Cipolla', 'Paolo Lorenzi']"
DEN,2,"['Kenneth Carlsen', 'Kristian Pless']"
CAN,4,"['Daniel Nestor', 'Sebastien Lareau', 'Frank Dancevic', 'Jesse Levine']"
PHI,1,['Cecil Mamiit']
BEL,7,"['Christophe Rochus', 'Olivier Rochus', 'Xavier Malisse', 'Dick Norman', 'Gilles Elseneer', 'Kristof Vliegen', 'Steve Darcis']"
THA,2,"['Paradorn Srichaphan', 'Danai Udomchoke']"
BUL,1,['Orlin Stanoytchev']
ISR,3,"['Harel Levy', 'Noam Okun', 'Dudi Sela']"
KOR,1,['Hyung Taik Lee']
PAR,1,['Ramon Delgado']
HUN,1,['Attila Savolt']
FIN,1,['Jarkko Nieminen']
GEO,1,['Irakli Labadze']
PER,1,['Luis Horna']
MON,1,['Jean Rene Lisnard']
TPE,2,"['Yen Hsun Lu', 'Jimmy Wang']"
LUX,1,['Gilles Muller']
CYP,1,['Marcos Baghdatis']
SRB,4,"['Janko Tipsarevic', 'Novak Djokovic', 'Boris Pashanski', 'Viktor Troicki']"
KAZ,2,"['Evgeny Korolev', 'Andrey Golubev']"
COL,1,['Alejandro Falla']
BIH,1,['Amer Delic']
LAT,1,['Ernests Gulbis']
URU,1,['Pablo Cuevas']
JPN,1,['Kei Nishikori']
POR,1,['Frederico Gil']
UZB,1,['Denis Istomin']
POL,1,['Lukasz Kubot']
