country,n_players,players
USA,37,"['Serena Williams', 'Venus Williams', 'Melanie Oudin', 'Jill Craybas', 'Vania King', 'Varvara Lepchenko', 'Shenay Perry', 'Bethanie Mattek Sands', 'Coco Vandeweghe', 'Christina Mchale', 'Irina Falconi', 'Sloane Stephens', 'Jamie Hampton', 'Julia Cohen', 'Lauren Davis', 'Madison Keys', 'Mallory Burdette', 'Alison Riske', 'Victoria Duval', 'Shelby Rogers', 'Nicole Gibbs', 'Madison Brengle', 'Taylor Townsend', 'Grace Min', 'Louisa Chirico', 'Samantha Crawford', 'Catherine Cartan Bellis', 'Jennifer Brady', 'Julia Boserup', 'Sachia Vickery', 'Danielle Rose Collins', 'Sofia Kenin', 'Bernarda Pera', 'Amanda Anisimova', 'Jessica Pegula', 'Kristie Ahn', 'Cori Gauff']"
RUS,33,"['Dinara Safina', 'Svetlana Kuznetsova', 'Elena Dementieva', 'Vera Zvonareva', 'Maria Sharapova', 'Nadia Petrova', 'Elena Vesnina', 'Alisa Kleybanova', 'Anastasia Pavlyuchenkova', 'Vera Dushevina', 'Ekaterina Makarova', 'Maria Kirilenko', 'Anna Chakvetadze', 'Alla Kudryavtseva', 'Evgeniya Rodina', 'Regina Kulikova', 'Anna Lapushchenkova', 'Anastasia Pivovarova', 'Nina Bratchikova', 'Alexandra Panova', 'Valeria Savinykh', 'Olga Puchkova', 'Vitalia Diatchenko', 'Margarita Gasparyan', 'Darya Kasatkina', 'Elizaveta Kulichkova', 'Irina Khromacheva', 'Natalia Vikhlyantseva', 'Ekaterina Alexandrova', 'Anna Blinkova', 'Anastasia Potapova', 'Veronika Kudermetova', 'Anna Kalinskaya']"
DEN,1,['Caroline Wozniacki']
BLR,6,"['Victoria Azarenka', 'Olga Govortsova', 'Anastasia Yakimova', 'Aliaksandra Sasnovich', 'Aryna Sabalenka', 'Vera Lapko']"
SRB,8,"['Jelena Jankovic', 'Ana Ivanovic', 'Bojana Jovanovski', 'Vesna Dolonc', 'Aleksandra Krunic', 'Olga Danilovic', 'Ivana Jorovic', 'Nina Stojanovic']"
POL,5,"['Agnieszka Radwanska', 'Urszula Radwanska', 'Katarzyna Piter', 'Magda Linette', 'Iga Swiatek']"
FRA,13,"['Marion Bartoli', 'Virginie Razzano', 'Aravane Rezai', 'Alize Cornet', 'Julie Coin', 'Pauline Parmentier', 'Mathilde Johansson', 'Stephanie Foretz Gacon', 'Iryna Bremond', 'Kristina Mladenovic', 'Caroline Garcia', 'Oceane Dodin', 'Fiona Ferro']"
ITA,10,"['Flavia Pennetta', 'Francesca Schiavone', 'Sara Errani', 'Tathiana Garbin', 'Roberta Vinci', 'Alberta Brianti', 'Maria Elena Camerin', 'Karin Knapp', 'Camila Giorgi', 'Jasmine Paolini']"
AUS,10,"['Samantha Stosur', 'Jelena Dokic', 'Anastasia Rodionova', 'Alicia Molik', 'Jarmila Gajdosova', 'Casey Dellacqua', 'Ajla Tomljanovic', 'Daria Gavrilova', 'Ashleigh Barty', 'Astra Sharma']"
CHN,9,"['Na Li', 'Jie Zheng', 'Shuai Peng', 'Shuai Zhang', 'Saisai Zheng', 'Qiang Wang', 'Ying Ying Duan', 'Yafan Wang', 'Lin Zhu']"
BEL,7,"['Yanina Wickmayer', 'Kim Clijsters', 'Kirsten Flipkens', 'Justine Henin', 'Alison Van Uytvanck', 'An Sophie Mestach', 'Elise Mertens']"
GER,13,"['Sabine Lisicki', 'Andrea Petkovic', 'Anna Lena Groenefeld', 'Tatjana Maria', 'Julia Goerges', 'Kristina Barrois', 'Angelique Kerber', 'Mona Barthel', 'Annika Beck', 'Dinah Pfizenmaier', 'Anna Lena Friedsam', 'Carina Witthoeft', 'Laura Siegemund']"
SVK,7,"['Daniela Hantuchova', 'Dominika Cibulkova', 'Magdalena Rybarikova', 'Jana Cepelova', 'Anna Karolina Schmiedlova', 'Kristina Kucova', 'Viktoria Kuzmova']"
ESP,14,"['Maria Jose Martinez Sanchez', 'Anabel Medina Garrigues', 'Carla Suarez Navarro', 'Arantxa Parra Santonja', 'Lourdes Dominguez Lino', 'Laura Pous Tio', 'Nuria Llagostera Vives', 'Silvia Soler Espinosa', 'Garbine Muguruza', 'Lara Arruabarrena', 'Maria Teresa Torro Flor', 'Estrella Cabeza Candela', 'Sara Sorribes Tormo', 'Paula Badosa']"
ISR,2,"['Shahar Peer', 'Julia Glushko']"
UKR,8,"['Kateryna Bondarenko', 'Alona Bondarenko', 'Viktoria Kutuzova', 'Lesia Tsurenko', 'Elina Svitolina', 'Nadiya Kichenok', 'Kateryna Kozlova', 'Dayana Yastremska']"
CAN,6,"['Aleksandra Wozniak', 'Rebecca Marino', 'Stephanie Dubois', 'Eugenie Bouchard', 'Sharon Fichman', 'Bianca Andreescu']"
