country,n_players,players
ESP,18,"['Jose Higueras', 'Manuel Orantes', 'Fernando Luna', 'Angel Gimenez', 'Jose Lopez Maeso', 'Jairo Velasco Jr', 'Alberto Tous', 'Juan Avendano', 'Juan Aguilera', 'Sergio Casal', 'Emilio Sanchez', 'Jordi Arrese', 'Javier Sanchez', 'David De Miguel', 'Sergi Bruguera', 'Tomas Carbonell', 'Jairo Velasco', 'Jose Garcia Requena']"
CHI,6,"['Hans Gildemeister', 'Jaime Fillol', 'Pedro Rebolledo', 'Ricardo Acuna', 'Alejandro Pierola', 'Belus Prajoux']"
PAR,2,"['Victor Pecci', 'Francisco Gonzalez']"
AUS,34,"['Paul Mcnamee', 'Kim Warwick', 'Peter Mcnamara', 'Phil Dent', 'Rod Frawley', 'Paul Kronk', 'Colin Dibley', 'Mark Edmondson', 'John Fitzgerald', 'John Alexander', 'David Carter', 'Chris Johnstone', 'Pat Cash', 'Wally Masur', 'Brad Drewett', 'Trevor Allan', 'John Frawley', 'Peter Doohan', 'Simon Youl', 'Mark Woodforde', 'Broderick Dyke', 'Mark Kratzmann', 'Carl Limberger', 'Darren Cahill', 'Jason Stoltenberg', 'Richard Fromberg', 'Johan Anderson', 'John Mccurdy', 'Steve Docherty', 'Geoff Masters', 'Chris Kachel', 'Ross Case', 'John James', 'Terry Rocavert']"
MEX,5,"['Raul Ramirez', 'Francisco Maciel', 'Leonardo Lavalle', 'Jorge Lozano', 'Emilio Montano']"
BOL,1,['Mario Martinez']
GER,21,"['Rolf Gehring', 'Andreas Maurer', 'Peter Elter', 'Ulrich Pinner', 'Damir Keretic', 'Michael Westphal', 'Hans Schwaier', 'Boris Becker', 'Wolfgang Popp', 'Ricki Osterthun', 'Eric Jelen', 'Carl Uwe Steeb', 'Paul Vojtischek', 'Tore Meinecke', 'Patrik Kuhnen', 'Christian Saceanu', 'Udo Riglewski', 'Andres Vysand', 'Michael Stich', 'Jens Woehrmann', 'Klaus Eberhard']"
ECU,3,"['Andres Gomez', 'Ricardo Ycaza', 'Raul Antonio Viver']"
GBR,10,"['Buster C Mottram', 'Chris Lewis', 'Colin Dowdeswell', 'John Lloyd', 'Steve Shaw', 'Jeremy Bates', 'Andrew Castle', 'Neil Broad', 'Richard Lewis', 'Mark Cox']"
BRA,10,"['Marcos Hocevar', 'Thomaz Koch', 'Carlos Kirmayr', 'Cassio Motta', 'Joao Soares', 'Givaldo Barbosa', 'Julio Goes', 'Luiz Mattar', 'Ivan Kley', 'Fernando Roese']"
ISR,3,"['Shlomo Glickstein', 'Shahar Perkiss', 'Amos Mansdorf']"
RSA,14,"['Bernard Mitton', 'Danie Visser', 'Morees Dubruyn', 'Eddie Edwards', 'Christo Steyn', 'Christo Van Rensburg', 'Barry Moir', 'Gary Muller', 'Pieter Aldrich', 'Robbie Venter', 'Raymond Moore', 'Robert Trogolo', 'Byron Bertram', 'Deon Joubert']"
NZL,5,"['Chris Lewis Nzl', 'Russell Simpson', 'Onny Parun', 'Kelly Evernden', 'Jeff Simpson']"
URU,3,"['Jose Luis Damiani', 'Diego Perez', 'Marcelo Filippini']"
AUT,5,"['Peter Feigl', 'Thomas Muster', 'Horst Skoff', 'Alex Antonitsch', 'Hans Kary']"
ROU,2,"['Ilie Nastase', 'Florin Segarceanu']"
ZIM,1,['Haroon Ismail']
IRL,1,['John Austin']
PER,3,"['Pablo Arraya', 'Jaime Yzaga', 'Carlos Di Laura']"
BEL,3,"['Bernard Boileau', 'Libor Pimek', 'Eduardo Masso']"
NGR,1,['Nduka Odizor']
CAN,7,"['Glenn Michibata', 'Greg Halder', 'Martin Wostenholme', 'Chris Pridham', 'Martin Laurendeau', 'Andrew Sznajder', 'Grant Connell']"
CRO,5,"['Marko Ostoja', 'Bruno Oresar', 'Goran Ivanisevic', 'Goran Prpic', 'Zeljko Franulovic']"
SVK,3,"['Miloslav Mecir', 'Marian Vajda', 'Branislav Stankovic']"
NED,8,"['Michiel Schapers', 'Huub Van Boeckel', 'Tom Nijssen', 'Menno Oosting', 'Mark Koevermans', 'Paul Haarhuis', 'Louk Sanders', 'Tom Okker']"
YUG,1,['Slobodan Zivojinovic']
RUS,4,"['Andrei Chesnokov', 'Alexander Volkov', 'Andrei Olhovskiy', 'Andrei Cherkasov']"
BAH,1,['Roger Smith']
SEN,1,['Yahiya Doumbia']
JPN,1,['Shuzo Matsuoka']
FIN,3,"['Olli Rahnasto', 'Veli Paloheimo', 'Leo Palin']"
VEN,1,['Nicolas Pereira']
COL,1,['Alvaro Betancur']
