id,name,surname,rank,country
200259,Ugo,Blanchet,2,FRA
200259,Chris,Evert,2,USA
200381,Juan Cruz,Scopetta,3,ARG
200381,Andrea,Jaeger,3,USA
200397,Hindolo,Karim,4,SLE
200397,Tracy,Austin,4,USA
200360,Yannis,Moulod,5,CIV
200360,Pam,Shriver,5,USA
200366,Olukayode Alafia Damina,Ayeni,6,USA
200366,Sylvia,Hanika,6,GER
200209,Grega,Boh,7,SLO
200209,Wendy,Turnbull,7,AUS
200392,Omar,Abdul Kodous,8,EGY
200392,Jo,Durie,8,GBR
200348,Konstantin,Kirovski,9,SRB
200348,Hana,Mandlikova,9,AUS
200442,Dostanbek,Tashbulatov,10,KAZ
200442,Andrea,Temesvari,10,HUN
200372,Alen,Rogic Hadzalic,11,CRO
200372,Bettina,Bunge,11,GER
200404,Hugo,Daubias,12,FRA
200404,Zina,Garrison,12,USA
200389,Piotr,Matuszewski,13,POL
200389,Kathy,Jordan,13,USA
200419,Jonas,Eriksson Ziverts,14,SWE
200419,Kathy,Rinaldi Stunkel,14,USA
200585,Pablo,Llanos,15,CHI
200585,Kathy,Horvath,15,USA
200377,Omer,Yeshaya,16,ISR
200377,Helena,Sukova,16,CZE
200961,Samo,Amon,17,SLO
200961,Ivanna,Madruga Osses,17,ARG
200373,Fran,Tonejc,18,CRO
200373,Bonnie,Gadusek,18,USA
200337,Yi Wei,Huang,19,TPE
200337,Virginia,Ruzici,19,ROU
200423,Lucas,Aranguren,20,ARG
200423,Carling,Bassett Seguso,20,CAN
200384,Hugo,Gaston,21,FRA
200384,Eva,Pfaff,21,GER
200354,Amit,Stein,22,ISR
200354,Claudia,Kohde Kilsch,22,GER
200375,Kento,Yamada,23,JPN
200375,Barbara,Potter,23,USA
200371,Lucas,Grego,24,FRA
200371,Mima,Jausovec,24,SLO
200398,Juan Carlos Manuel,Aguilar,25,BOL
200398,Iva,Budarova,25,TCH
200357,Gabriel,Bugiga,26,BRA
200357,Rosalyn,Nideffer,26,USA
200378,Lior,Goldenberg,27,ISR
200378,Anne,Smith,27,USA
200359,Guilherme,De Freitas Coco,28,BRA
200359,Christiane,Jolissaint,28,SUI
200994,Maxime,Godin Maresches,29,FRA
200994,Michelle,Torres,29,USA
200401,Amir Hossein,Badi,30,IRI
200401,Manuela,Maleeva Fragniere,30,SUI
200408,Enzo,Le Seguillon,31,FRA
200408,Alycia,Moulton,31,USA
200402,Moin,Mohammadi,32,IRI
200402,Wendy,Prausa,32,USA
200387,Piers,Foley,33,GBR
200387,Anne,White,33,USA
200465,Sem,Verbeek,34,NED
200465,Lisa,Bonder Kreiss,34,USA
200991,Erick,Siqueria,35,BRA
200991,Joanne,Russell,35,USA
200395,Antoine,Monaco,36,FRA
200395,Catherine,Tanvier,36,FRA
200150,Michael,Chaker,37,LIB
200150,Evonne,Cawley,37,AUS
200533,Archit,Jain,38,IND
200533,Pam,Casale Telford,38,USA
200433,Agustin,Suarez Gonzalez,39,ARG
200433,Kim,Jones Shaefer,39,USA
200410,Stephan,Koenigsfest,40,BOL
200410,Yvonne,Vermaak,40,RSA
200427,Yannick,Christmann,41,FRA
200427,Beth,Herr,41,USA
200237,Lourenzo,Gasperini,42,BRA
200237,Virginia,Wade,42,GBR
200444,Igor,Karpovets,43,UKR
200444,Elise,Burgin,43,USA
200403,Patrik,Nema,44,SVK
200403,Andrea,Leand,44,USA
200422,Nicolas,De Marco,45,ARG
200422,Raffaella,Reggi Concato,45,ITA
200383,Maxime,Pauwels,46,BEL
200383,Anne,Hobbs,46,GBR
200407,Ignace,Van Den Steene,47,BEL
200407,Camille,Benjamin,47,USA
200340,Nicholas,Shamma,48,USA
200340,Marcella,Mesker,48,NED
200223,Laurens,Verboven,50,BEL
200223,Sharon,Walsh Pete,50,USA
200959,Sorin,Rus,52,ROU
200959,Mareen,Louie Harper,52,USA
200630,Alexander,Zverev Sr,53,RUS
200630,Laura,Gildemeister,53,PER
200496,Ivanhoe,Lissanevitch,53,NEP
200496,Terry,Phelps,53,USA
200503,J,Sutter,54,UNK
200503,Gretchen,Magers,54,USA
200159,Samuel,Beren,55,USA
200159,Rosie,Casals,55,USA
200989,Dave,Van Romondt,56,ARU
200989,Leigh Anne,Thompson,56,USA
200266,Javier,Barranco Cosano,57,ESP
200266,Sue,Barker,57,GBR
200448,Diego Nicolas,Hernandez Rojas,59,CHI
200448,Sandy,Collins,59,USA
200390,Kacper,Zuk,60,POL
200390,Mary Lou,Daniels,60,USA
200331,Leonardo,Aboian,61,ARG
200331,Kim,Sands,61,USA
200275,Evan,Mcnicol,63,CAN
200275,Ann,Kiyomura Hayashi,63,USA
200497,John,Jorgeson,64,USA
200497,Patricia,Hy Boulais,64,CAN
201035,Yanquiel,Medina,65,CUB
201035,Kate,Gompert,65,USA
200333,Gabriel,Carneiro Torres Goncalves,67,BRA
200333,Betsy,Nagelsen,67,USA
200451,Vladyslav,Lobak,68,UKR
200451,Beverly,Mould,68,RSA
200413,Jeremy,Touil,69,FRA
200413,Heather,Ludloff,69,USA
200975,Mark,Varga,70,HUN
200975,Julie,Harrington,70,USA
200388,Samuel,Ferguson,72,GBR
200388,Leslie,Allen,72,USA
200362,Siddharth,Anand,73,IND
200362,Liz,Smylie,73,AUS
200221,Alejandro,Davidovich Fokina,75,ESP
