id,name,surname,rank,country
211411,Nina,Stojanovic,100,SRB
202458,Angelin,Mvogo,1,CMR
202458,Ashleigh,Barty,1,AUS
215713,Anastasia,Potapova,88,RUS
215219,Kaja,Juvan,91,SLO
220704,Clara,Tauson,96,DEN
203530,Marc,Powell,81,GBR
203530,Viktorija,Golubic,81,SUI
202506,Juan Manuel,Brito,88,CUB
202506,Margarita,Gasparyan,88,RUS
206124,Gilles,Jennes,98,BEL
206124,Tereza,Martincova,98,CZE
200259,Ugo,Blanchet,2,FRA
200259,Chris,Evert,2,USA
200381,Juan Cruz,Scopetta,3,ARG
200381,Andrea,Jaeger,3,USA
200397,Hindolo,Karim,4,SLE
200397,Tracy,Austin,4,USA
200360,Yannis,Moulod,5,CIV
200360,Pam,Shriver,5,USA
200366,Olukayode Alafia Damina,Ayeni,6,USA
200366,Sylvia,Hanika,6,GER
200209,Grega,Boh,7,SLO
200209,Wendy,Turnbull,7,AUS
200392,Omar,Abdul Kodous,8,EGY
200392,Jo,Durie,8,GBR
200348,Konstantin,Kirovski,9,SRB
200348,Hana,Mandlikova,9,AUS
200442,Dostanbek,Tashbulatov,10,KAZ
200442,Andrea,Temesvari,10,HUN
200372,Alen,Rogic Hadzalic,11,CRO
200372,Bettina,Bunge,11,GER
200404,Hugo,Daubias,12,FRA
200404,Zina,Garrison,12,USA
200389,Piotr,Matuszewski,13,POL
200389,Kathy,Jordan,13,USA
200419,Jonas,Eriksson Ziverts,14,SWE
200419,Kathy,Rinaldi Stunkel,14,USA
200585,Pablo,Llanos,15,CHI
200585,Kathy,Horvath,15,USA
200377,Omer,Yeshaya,16,ISR
200377,Helena,Sukova,16,CZE
200961,Samo,Amon,17,SLO
200961,Ivanna,Madruga Osses,17,ARG
200373,Fran,Tonejc,18,CRO
200373,Bonnie,Gadusek,18,USA
200337,Yi Wei,Huang,19,TPE
200337,Virginia,Ruzici,19,ROU
200423,Lucas,Aranguren,20,ARG
200423,Carling,Bassett Seguso,20,CAN
200384,Hugo,Gaston,21,FRA
200384,Eva,Pfaff,21,GER
200354,Amit,Stein,22,ISR
200354,Claudia,Kohde Kilsch,22,GER
200375,Kento,Yamada,23,JPN
200375,Barbara,Potter,23,USA
