id,name,surname,rank,country
200293,Daniel,Krashin,2,ISR
200293,Martina,Navratilova,2,USA
200572,Nick,Hardt,3,DOM
200572,Gabriela,Sabatini,3,ARG
200404,Hugo,Daubias,4,FRA
200404,Zina,Garrison,4,USA
200017,Aditya,Deswal,5,IND
200017,Arantxa,Sanchez Vicario,5,ESP
200652,Mohamed,Abdel Aziz,6,EGY
200652,Monica,Seles,6,USA
200049,Amer Mohamed,Abdo,7,YEM
200049,Conchita,Martinez,7,ESP
200377,Omer,Yeshaya,8,ISR
200377,Helena,Sukova,8,CZE
200401,Amir Hossein,Badi,9,IRI
200401,Manuela,Maleeva Fragniere,9,SUI
200259,Ugo,Blanchet,10,FRA
200259,Chris,Evert,10,USA
200539,Konstantinos,Ilia,11,CYP
200539,Jana,Novotna,11,CZE
200597,Andres Ariel,Fernandez Lopez,12,ARG
200597,Mary Joe,Fernandez,12,USA
200472,Ayoub,Guennaz,13,FRA
200472,Helen,Kelesi,13,CAN
200348,Konstantin,Kirovski,14,SRB
200348,Hana,Mandlikova,14,AUS
200455,Aliaksandr,Liaonenka,15,BLR
200455,Katerina,Maleeva,15,BUL
200453,Milos,Mihajlovic,16,SRB
200453,Catarina,Lindqvist Ryan,16,SWE
200462,Andrea,Guerrieri,17,ITA
200462,Belinda,Cordwell,17,NZL
200360,Yannis,Moulod,18,CIV
200360,Pam,Shriver,18,USA
200630,Alexander,Zverev Sr,19,RUS
200630,Laura,Gildemeister,19,PER
200450,Ulugbek,Fayzullaev,20,UZB
200450,Larisa,Savchenko,20,URS
200422,Nicolas,De Marco,21,ARG
200422,Raffaella,Reggi Concato,21,ITA
200357,Gabriel,Bugiga,22,BRA
200357,Rosalyn,Nideffer,22,USA
200417,Axel,Fries,23,SWE
200417,Gigi,Fernandez,23,USA
200604,Sergio,Ruiz,24,ESP
200604,Barbara,Paulus,24,AUT
200097,Patrick,Mufumbila,25,ZAM
200097,Nathalie,Tauziat,25,FRA
200725,Jiri,Broz,26,CZE
200725,Sandra,Cecchini,26,ITA
200116,Camilo,Ugo Carabelli,27,ARG
200116,Natalia,Zvereva,27,BLR
200650,Jeremias,Rocco,28,ARG
200650,Isabel,Cueto,28,GER
200503,J,Sutter,29,UNK
200503,Gretchen,Magers,29,USA
200601,Nidzhat,Ibragimov,30,RUS
200601,Leila,Meskhi,30,GEO
200548,Yuri,Lorenzi,31,ITA
200548,Patty,Fendick,31,USA
200530,Constandinos,Christoforou,32,CYP
200530,Radomira,Zrubakova,32,SVK
200041,Dane,Dunlap,33,CAN
200041,Amy,Frazier,33,USA
200346,Mats,Rosenkranz,34,GER
200346,Anne,Minter,34,AUS
200482,Rana Roop Singh,Bhullar,35,NOR
200482,Judith,Wiesner,35,AUT
200428,Till,Wegner,36,GER
200428,Lori,Mcneil,36,USA
200354,Amit,Stein,37,ISR
200354,Claudia,Kohde Kilsch,37,GER
200485,Constantin,Frantzen,38,GER
200485,Manon,Bollegraf,38,NED
200673,Rayyan,Aljufairi,39,QAT
200673,Susan,Sloane Lundy,39,USA
200605,Rasul,Gojayev,40,AZE
200605,Regina,Rajchrtova,40,TCH
200366,Olukayode Alafia Damina,Ayeni,41,USA
200366,Sylvia,Hanika,41,GER
200378,Lior,Goldenberg,42,ISR
200378,Anne,Smith,42,USA
200442,Dostanbek,Tashbulatov,43,KAZ
200442,Andrea,Temesvari,43,HUN
200705,Jannik,Rother,44,GER
200705,Linda,Ferrando,44,ITA
200333,Gabriel,Carneiro Torres Goncalves,45,BRA
200333,Betsy,Nagelsen,45,USA
200621,Bruno,Britez,46,PAR
200621,Isabelle,Demongeot,46,FRA
200674,Mason,Beiler,47,USA
200674,Bettina,Fulco Villella,47,ARG
200496,Ivanhoe,Lissanevitch,48,NEP
200496,Terry,Phelps,48,USA
200439,Bjorn,Hoffmann,49,USA
200439,Jenny,Byrne,49,AUS
200589,Sam,Riffice,50,USA
200589,Halle,Cioffi,50,USA
200602,Nicolo,Schiliro,51,ITA
200602,Shaun,Stafford,51,USA
200419,Jonas,Eriksson Ziverts,52,SWE
200419,Kathy,Rinaldi Stunkel,52,USA
200464,Connor,Hance,53,USA
200464,Ann,Henricksson,53,USA
200595,Lorenzo,Bocchi,54,ITA
200595,Ann,Wunderlich,54,USA
200495,Eduardo,Ribeiro,55,BRA
200495,Akiko,Kijimuta,55,JPN
200481,Thomas Christopher,Eckert,56,GER
200481,Elna,Reinach,56,RSA
200561,Rian,Pandole,57,IND
200561,Cathy,Caverzasio,57,SUI
200584,Wisdom,Na Adjrago,58,GHA
200584,Laura,Golarsa,58,ITA
200566,Vidith,Huot,59,USA
200566,Donna,Faber,59,USA
200641,Mehdi,Mazouz,60,MAR
200641,Patricia,Tarabini,60,ARG
200469,Iouri Sant,Syromolotov Netrebin,61,ESP
200469,Nicole,Bradtke,61,AUS
200444,Igor,Karpovets,62,UKR
200444,Elise,Burgin,62,USA
200064,Athanasios,Zannias,63,GRE
200064,Amanda,Coetzer,63,RSA
200593,Adria,Alvarez,64,ESP
200593,Karine,Quentrec,64,FRA
200395,Antoine,Monaco,65,FRA
200395,Catherine,Tanvier,65,FRA
200362,Siddharth,Anand,66,IND
200362,Liz,Smylie,66,AUS
200612,Nikita,Potapov,67,RUS
200612,Natalia,Medvedeva,67,UKR
200424,Gaston,Tonello,68,ARG
200424,Etsuko,Inoue,68,JPN
200547,Souhail,Boukdeir,69,MAR
200547,Sandra,Wasserman,69,BEL
200535,Victor,Chaw,70,PER
200535,Jo Anne,Faull,70,AUS
200625,Cameron Edward,Smith,71,AUS
200625,Jana,Pospisilova,71,CZE
200372,Alen,Rogic Hadzalic,72,CRO
200372,Bettina,Bunge,72,GER
201017,Ovidiu,Ferestean,73,ROU
201017,Angelika,Kanellopoulou,73,GRE
200651,Ben,Doghmani,74,TUN
200651,Sabine,Hack,74,GER
200480,Alessandro,Ricci,75,CZE
200480,Claudia,Porwik,75,GER
201043,Carlos,Cordoba,76,BOL
201043,Barbara,Romano,76,ITA
200026,Feda,Bilic,77,AUS
200026,Florencia,Labat,77,ARG
200569,Marin,Dumitru,78,AUS
200569,Petra,Pichalova Langrova,78,TCH
200105,Frazier,Rengifo,79,COL
200105,Rachel,Mcquillan,79,AUS
201051,Marco,Casal,80,ESP
201051,Laura,Lapi,80,ITA
200610,Oliver,Crawford,81,USA
200610,Stacey,Martin,81,USA
200522,Renato,Lima,82,BRA
200522,Nicole,Krijger Jagerman,82,NED
200554,Ruben,Geeraert,83,BEL
200554,Brenda,Schultz Mccarthy,83,NED
200557,Mohamed Anouar,Braham,84,TUN
200557,Katrina,Adams,84,USA
200599,Jason,Legall,85,USA
200599,Carrie,Cunningham,85,USA
200494,Timothy,Dollman,86,RSA
200494,Dianne,Van Rensburg,86,RSA
201021,Lukas,Labitsch,87,AUT
201021,Laura,Garrone,87,ITA
200416,August,Holmgren,88,DEN
200416,Robin,White,88,USA
201047,Coen,Van Keulen,89,NED
201047,Andrea,Vieira,89,BRA
200506,L,Fernandez,90,UNK
200506,Wiltrud,Probst,90,GER
200640,Lucas,Vuradin,91,AUS
200640,Mercedes,Paz,91,ARG
200407,Ignace,Van Den Steene,92,BEL
200407,Camille,Benjamin,92,USA
200699,Thiago,Santos,93,BRA
200699,Meredith,Mcgrath,93,USA
200573,Mitchell Thomas,Mcdaniels,94,USA
200573,Cecilia,Dahlman,94,SWE
200501,Michael,Wennberg,95,SWE
200501,Marianne,Werdel Witmeyer,95,USA
200476,Jeff,Sackmann,96,USA
200476,Cammy,Macgregor,96,USA
201025,Rafael,Wolfe,97,USA
201025,Neige,Dias,97,BRA
200591,Orkhan,Manafli,98,AZE
200591,Ronni,Reis,98,USA
200582,Tsatsu Kofi,Segbedzie,99,GHA
200582,Maria,Strandlund Tomsvik,99,SWE
200441,Grigoriy,Lomakin,100,KAZ
200441,Louise,Field,100,AUS
200414,Kasper,Elsvad,1,DEN
200414,Steffi,Graf,1,GER
200617,Emmanuel,Luria,90,ISR
200617,Kimiko,Date Krumm,90,JPN
200473,Valentin,Vacherot,97,FRA
200473,Beverly,Bowes Hackney,97,USA
200112,Alejandro,Alaix,81,ESP
200112,Julie,Halard Decugis,81,FRA
200037,Irfan,Hussain,88,IND
200037,Sabine,Appelmans,88,BEL
200606,Rayane,Oumaouche,93,FRA
200606,Nana,Smith,93,JPN
200013,Mirko,Martinez,97,SUI
200013,Angelica,Gavaldon,97,MEX
200514,Jurij,Rodionov,99,AUT
200514,Monique,Javer,99,GBR
200959,Sorin,Rus,83,ROU
200959,Mareen,Louie Harper,83,USA
200624,Sebastian,Korda,87,USA
200624,Tami,Whitlinger Jones,87,USA
200576,Terrell,Whitehurst,91,USA
200576,Nathalie,Herreman,91,FRA
200077,Ikechukwu,Iloputa,25,NGR
200077,Jennifer,Capriati,25,USA
200390,Kacper,Zuk,97,POL
200390,Mary Lou,Daniels,97,USA
200483,Peter August,Anker,89,NOR
200483,Kumiko,Okamoto,89,JPN
200644,Shoma,Kato,49,JPN
200644,Naoko,Sawamatsu,49,JPN
200622,Hernando Jose,Escurra Isnardi,87,PAR
200622,Maya,Kidowaki,87,JPN
200520,Pavel,Motl,88,CZE
200520,Sarah,Loosemore,88,GBR
201054,Julien,Fernandez,100,FRA
201054,Katia,Piccolini,100,ITA
200626,Hu,Liu,96,CHN
200626,Emanuela,Zardo,96,SUI
213066,Elena,Wagner,100,GER
200646,Yuto,Sakai,94,JPN
200646,Francesca,Romano,94,ITA
200607,Samuele,Ramazzotti,96,ITA
200607,Beate,Reinstadler,96,AUT
200086,Toufik,Sahtali,97,ALG
200086,Magdalena,Maleeva,97,BUL
200392,Omar,Abdul Kodous,60,EGY
200392,Jo,Durie,60,GBR
200586,Patricio,Gallegos,84,CHI
200586,Federica,Bonsignori,84,ITA
200403,Patrik,Nema,95,SVK
200403,Andrea,Leand,95,USA
200402,Moin,Mohammadi,99,IRI
200402,Wendy,Prausa,99,USA
200486,Roee,Benya,99,ISR
200486,Csilla,Cserepy,99,SUI
200095,Nicola,Kuhn,94,ESP
200095,Linda,Wild,94,USA
201044,Rogerio,Kawakami,100,BRA
201044,Catherine,Mothes Jobkel,100,FRA
200081,Mikhail,Pechalov,55,RUS
200081,Anke,Huber,55,GER
200021,Francisco,Bendana,91,NCA
200021,Alexia,Dechaume Balleret,91,FRA
200497,John,Jorgeson,97,USA
200497,Patricia,Hy Boulais,97,CAN
200608,Andres,Fernandez Canovas,97,ESP
200608,Audra,Keller,97,USA
200570,Javier Renato,Rodriguez Sanchez,99,PER
200570,Veronika,Martinek,99,GER
200574,Alexander,Donski,98,CAN
200574,Eva,Sviglerova,98,CZE
200096,Dragos Nicolae,Madaras,100,ROU
200096,Mary,Pierce,100,FRA
200634,Antoine,Gaudon,100,FRA
200634,Elena,Brioukhovets,100,UKR
200443,Adam,Walton,83,AUS
200443,Sara,Gomer,83,GBR
200664,Casper,Bonapart,75,NED
200664,Stephanie,Rehe,75,USA
200006,Hugo,Pontico,91,FRA
200006,Karina,Habsudova,91,SVK
200579,Kartik Kuber Chavare,Bhaiyu,96,IND
200579,Karin,Kschwendt,96,AUT
200629,Karlo,Boljat,82,CRO
200629,Cristina,Tessi,82,ARG
200632,Evan,Zhu,88,USA
