id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches,hard,clay,grass,Y1,Y2
201506,Sara Errani,0.0013903601694915,0.0251588983050847,0.5477541754499756,0.4948282995448904,0.509985387238188,0.5328852616418627,234,48,71,6,-0.0186705094291837,-1.0326880524432738
201347,Jelena Jankovic,0.0414915006397367,0.0525498080789618,0.6470846762379139,0.548908420754182,0.562242374278648,0.4793328498912255,184,55,23,13,-0.9048670673371424,0.0413909804118968
201419,Na Li,0.0306298533218291,0.0522001725625539,0.6562703053931124,0.6027820710973725,0.6069868995633187,0.5540983606557377,34,24,5,2,-1.0129197811184003,-0.2386039491917832
201458,Victoria Azarenka,0.041023957991467,0.063423039054808,0.6627605772788948,0.5474962063732929,0.5765151515151515,0.4894117647058823,200,93,23,14,-0.9335144756660976,0.1448545349846575
201520,Petra Kvitova,0.0673121683269714,0.0658690997113862,0.7027272727272728,0.6038203557888597,0.5921875,0.4456089627755691,345,155,52,29,-1.481070516756568,0.6877372748608821
201493,Angelique Kerber,0.0219013431210422,0.0422699955632638,0.6428615327883965,0.5527267854750101,0.5758384146341463,0.471320182094082,392,164,43,46,-0.7053589251205198,-0.2991420283339527
201474,Agnieszka Radwanska,0.0355264845453379,0.0226369116326792,0.6545014618409114,0.5093167701863354,0.5709112854556427,0.5083612040133779,266,120,18,27,-1.0421975593064188,-0.4495157216833056
200033,Serena Williams,0.1277977341807129,0.0512572533849129,0.7541059988351776,0.5795410346168806,0.6157941437444543,0.4720314033366045,249,139,40,28,-2.648686402551132,1.2690323369741834
205925,Aliaksandra Sasnovich,0.0,0.0793650793650793,0.5961538461538461,0.0,0.5,0.2727272727272727,1,0,0,0,0.909161592598618,-0.0565901219979797
202628,Maryna Zanevska,0.0,0.0212765957446808,0.7575757575757576,1.0,0.6666666666666666,0.3333333333333333,1,0,1,0,-1.4872759672329383,-0.081489592986215
202536,Ana Bogdan,0.0,0.0,0.5510204081632653,1.0,0.6666666666666666,0.3333333333333333,1,0,0,0,-0.7605240668047332,-0.4882326752823008
214082,Darya Kasatkina,0.0202583853945532,0.0567113483350518,0.5950803303984751,0.534452296819788,0.5162700339970859,0.4800884955752212,241,83,38,10,-0.276595425818102,-0.2496365808701711
202434,Aleksandra Krunic,0.0,0.046875,0.4871794871794871,0.6666666666666666,0.5,0.3333333333333333,1,0,0,0,0.4344099732387855,-0.2651723500966608
201504,Julia Goerges,0.0870110200031336,0.0495639003499242,0.7193643211464266,0.5461643835616439,0.6013363028953229,0.4327485380116959,278,110,37,17,-1.861624744943973,0.7757951768432187
203552,Risa Ozaki,0.0166666666666666,0.05,0.5454545454545454,0.0,0.3333333333333333,0.25,1,0,0,0,1.0527362070977389,-0.1908361706461816
201498,Karin Knapp,0.0217391304347826,0.0869565217391304,0.7758620689655172,0.75,0.6666666666666666,0.375,1,0,1,0,-1.2529700551983367,0.678685972787784
201481,Tamira Paszek,0.0,0.088235294117647,0.5967741935483871,0.6818181818181818,0.625,0.3333333333333333,1,0,0,0,-0.019674416778493,0.318550838703393
201596,Johanna Larsson,0.0158730158730158,0.0476190476190476,0.6862745098039216,0.0,1.0,0.4,1,0,1,0,-0.9424550265028327,-0.3232594894388242
201527,Stefanie Voegele,0.0377358490566037,0.0943396226415094,0.625,0.8888888888888888,0.6,0.0,1,0,0,0,-0.4280350987312883,1.842616641383652
201555,Polona Hercog,0.0961538461538461,0.0769230769230769,0.7777777777777778,0.5625,0.75,0.5,1,0,1,0,-2.427125504583204,1.1177654654265876
201693,Timea Babos,0.0408163265306122,0.0612244897959183,0.6388888888888888,0.0,0.5,0.25,1,0,0,0,0.0930743607494049,0.3594371510927892
201556,Lucie Hradecka,0.1851851851851851,0.0185185185185185,0.8125,0.8888888888888888,0.8,0.625,1,0,1,0,-4.679201706355445,1.535318498596486
202418,Lara Arruabarrena,0.0327868852459016,0.0491803278688524,0.5609756097560976,1.0,0.375,0.1999999999999999,1,0,0,0,-0.2626344420348182,0.7405461302554778
203533,Anna Karolina Schmiedlova,0.0617283950617283,0.0493827160493827,0.6730769230769231,0.6666666666666666,0.75,0.3571428571428571,1,0,1,0,-1.6510808962494663,0.7081448351838644
201537,Patricia Mayr Achleitner,0.0,0.036144578313253,0.5757575757575758,0.0,0.6428571428571429,0.25,1,0,0,0,0.4869625524370793,-0.4547259117513176
202671,Cristina Andreea Mitu,0.0,0.0575539568345323,0.5566037735849056,0.9375,0.7083333333333334,0.3225806451612903,1,0,1,0,-0.440423952541716,0.1461770482797057
202482,Barbara Haas,0.0,0.0583941605839416,0.5148514851485149,1.0,0.6774193548387096,0.2916666666666666,1,0,0,0,-0.2350359540543391,0.2268591975511733
202470,Annika Beck,0.0,0.08,0.45,0.0,0.3333333333333333,0.4444444444444444,1,0,1,0,1.6551089929930298,-0.6440156317671643
202694,Teliana Pereira,0.0,0.0967741935483871,0.4,0.0,0.5555555555555556,0.6666666666666667,1,0,0,0,1.3169500981213218,-1.0065087026179895
202653,Denisa Allertova,0.0568181818181818,0.0795454545454545,0.7258064516129032,0.0,0.5,0.3333333333333333,1,0,1,0,-0.4585600546173207,0.6283204529912686
202489,Carina Witthoeft,0.0353982300884955,0.0442477876106194,0.6164383561643836,0.6956521739130435,0.6666666666666666,0.5,1,0,0,0,-1.1101872647532325,-0.0936435367924653
203575,Danka Kovinic,0.0689655172413793,0.0862068965517241,0.7428571428571429,0.7142857142857143,0.3333333333333333,0.4444444444444444,1,0,1,0,-1.1691211068494,0.9700200545234094
