id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches,hard,clay,grass,Y1,Y2
201506,Sara Errani,0.0014337945372428,0.0202165029751236,0.5490145003038985,0.5006890215893431,0.5155579399141631,0.5318818040435459,218,47,66,6,-0.06431274249385,-0.8904414953839386
201347,Jelena Jankovic,0.0414915006397367,0.0525498080789618,0.6470846762379139,0.548908420754182,0.562242374278648,0.4793328498912255,184,55,23,13,-0.8998962707115217,0.0262669359934708
201419,Na Li,0.0306298533218291,0.0522001725625539,0.6562703053931124,0.6027820710973725,0.6069868995633187,0.5540983606557377,34,24,5,2,-1.013436981286447,-0.1975767062079804
201458,Victoria Azarenka,0.039258035827722,0.0693685681616059,0.671725688589095,0.570632911392405,0.5836341756919374,0.4936936936936936,135,65,12,12,-0.9484451678914012,0.1684861288655769
201520,Petra Kvitova,0.066629339305711,0.0673758865248227,0.703023538961039,0.6047600468201326,0.592617908407382,0.4563627498781082,265,114,39,26,-1.4729533805555108,0.5430062998754964
201493,Angelique Kerber,0.0224123681267927,0.041518790412757,0.644949941107185,0.5534313725490196,0.5775822139879574,0.4695121951219512,330,138,41,38,-0.7227860516344252,-0.1945420229908472
201474,Agnieszka Radwanska,0.0355264845453379,0.0226369116326792,0.6545014618409114,0.5093167701863354,0.5709112854556427,0.5083612040133779,266,120,18,27,-1.038135765141233,-0.4079482263633915
200033,Serena Williams,0.1332661659644623,0.0542223850522073,0.7589354788797772,0.5897302904564315,0.6152019002375297,0.4809160305343511,193,107,36,22,-2.740950247016253,0.9510719423603118
205925,Aliaksandra Sasnovich,0.0,0.0793650793650793,0.5961538461538461,0.0,0.5,0.2727272727272727,1,0,0,0,0.9352877536151116,-0.0394203082552945
202628,Maryna Zanevska,0.0,0.0212765957446808,0.7575757575757576,1.0,0.6666666666666666,0.3333333333333333,1,0,1,0,-1.4884137447580983,0.3348875674383019
202536,Ana Bogdan,0.0,0.0,0.5510204081632653,1.0,0.6666666666666666,0.3333333333333333,1,0,0,0,-0.760528281243902,0.0426460812802069
214082,Darya Kasatkina,0.0221172766627312,0.0501377410468319,0.6010845219851467,0.5402459474566798,0.5285343709468223,0.4846416382252559,186,68,31,10,-0.3938389878385465,-0.2328604891696601
202434,Aleksandra Krunic,0.0,0.046875,0.4871794871794871,0.6666666666666666,0.5,0.3333333333333333,1,0,0,0,0.4459441726894637,0.0186367581136566
201504,Julia Goerges,0.0864222674813306,0.0484725050916496,0.7184834123222749,0.5472681524083394,0.5967623252391464,0.435361216730038,219,85,35,11,-1.8462963498068188,0.5586591056134171
203552,Risa Ozaki,0.0166666666666666,0.05,0.5454545454545454,0.0,0.3333333333333333,0.25,1,0,0,0,1.0846827464524154,-0.2603982722475079
201498,Karin Knapp,0.0217391304347826,0.0869565217391304,0.7758620689655172,0.75,0.6666666666666666,0.375,1,0,1,0,-1.2509468322037116,0.7953332045401253
201481,Tamira Paszek,0.0,0.088235294117647,0.5967741935483871,0.6818181818181818,0.625,0.3333333333333333,1,0,0,0,-0.0123961874488171,0.5648812793234652
201596,Johanna Larsson,0.0158730158730158,0.0476190476190476,0.6862745098039216,0.0,1.0,0.4,1,0,1,0,-0.9363814761550396,-0.1171505204569762
201527,Stefanie Voegele,0.0377358490566037,0.0943396226415094,0.625,0.8888888888888888,0.6,0.0,1,0,0,0,-0.4099998302688103,2.077621903749694
201555,Polona Hercog,0.0961538461538461,0.0769230769230769,0.7777777777777778,0.5625,0.75,0.5,1,0,1,0,-2.4291534239759467,0.8822534859683419
201693,Timea Babos,0.0408163265306122,0.0612244897959183,0.6388888888888888,0.0,0.5,0.25,1,0,0,0,0.1198677337336123,0.2272994177922716
201556,Lucie Hradecka,0.1851851851851851,0.0185185185185185,0.8125,0.8888888888888888,0.8,0.625,1,0,1,0,-4.694410184375919,1.0859676626939925
202418,Lara Arruabarrena,0.0327868852459016,0.0491803278688524,0.5609756097560976,1.0,0.375,0.1999999999999999,1,0,0,0,-0.2486359511316157,0.9286985248324664
203533,Anna Karolina Schmiedlova,0.0617283950617283,0.0493827160493827,0.6730769230769231,0.6666666666666666,0.75,0.3571428571428571,1,0,1,0,-1.6485884982433174,0.7886201729929311
201537,Patricia Mayr Achleitner,0.0,0.036144578313253,0.5757575757575758,0.0,0.6428571428571429,0.25,1,0,0,0,0.509963946370301,-0.2661241946958426
202671,Cristina Andreea Mitu,0.0,0.0575539568345323,0.5566037735849056,0.9375,0.7083333333333334,0.3225806451612903,1,0,1,0,-0.4397395678542929,0.58535517798526
202482,Barbara Haas,0.0,0.0583941605839416,0.5148514851485149,1.0,0.6774193548387096,0.2916666666666666,1,0,0,0,-0.2331045747773008,0.6923663562066478
202470,Annika Beck,0.0,0.08,0.45,0.0,0.3333333333333333,0.4444444444444444,1,0,1,0,1.679547142739827,-0.7311031748307594
202694,Teliana Pereira,0.0,0.0967741935483871,0.4,0.0,0.5555555555555556,0.6666666666666667,1,0,0,0,1.3261636150471066,-1.0607057578236467
202653,Denisa Allertova,0.0568181818181818,0.0795454545454545,0.7258064516129032,0.0,0.5,0.3333333333333333,1,0,1,0,-0.4356947380238287,0.3330302339780843
202489,Carina Witthoeft,0.0353982300884955,0.0442477876106194,0.6164383561643836,0.6956521739130435,0.6666666666666666,0.5,1,0,0,0,-1.1116389231458506,0.0365761778413397
203575,Danka Kovinic,0.0689655172413793,0.0862068965517241,0.7428571428571429,0.7142857142857143,0.3333333333333333,0.4444444444444444,1,0,1,0,-1.159755270506222,0.6755866294979905
211701,Katerina Siniakova,0.0,0.1694915254237288,0.6451612903225806,0.625,0.5555555555555556,0.6666666666666667,1,0,0,0,0.1121289031915655,0.2696267968570683
202480,Richel Hogenkamp,0.0357142857142857,0.0535714285714285,0.7037037037037037,0.5625,0.75,0.6,1,0,1,0,-1.5518270935854792,-0.1713848770519243
201549,Petra Martic,0.0496501918302866,0.0412999322951929,0.6546941678520626,0.543037088873338,0.5748502994011976,0.4188948306595366,70,18,13,4,-1.063373193000088,0.1750340806859146
201344,Klara Koukalova,0.0094552003601981,0.0882485366951823,0.606280193236715,0.5750636132315522,0.4885993485342019,0.4440677966101695,39,5,5,3,0.0708832623939472,0.1275807988843215
204431,Anna Lena Friedsam,0.0333333333333333,0.0333333333333333,0.7619047619047619,1.0,0.0,0.7142857142857143,1,0,0,0,-1.020062292842069,-0.9037025024341414
201325,Samantha Stosur,0.0590106569110863,0.0524097343725147,0.6641072358146799,0.5747453210139777,0.5847201210287444,0.433282208588957,196,34,54,8,-1.2285375488735806,0.3558795855955961
201545,Anastasija Sevastova,0.0349334210093703,0.0339470655926352,0.6450006914672936,0.511101243339254,0.5556368960468521,0.492842535787321,183,54,40,15,-0.8783064374096375,-0.2793309308416566
201499,Anastasia Pavlyuchenkova,0.0373705857325202,0.063182527301092,0.6489540217026513,0.5452414439756212,0.5487012987012987,0.4498516320474777,210,78,24,9,-0.7263405452025888,0.1606976444217893
206404,Elizaveta Kulichkova,0.0425531914893617,0.0531914893617021,0.6226415094339622,0.6521739130434783,0.1666666666666666,0.3333333333333333,1,0,0,0,-0.0027541149502711,0.2212486567718059
201435,Kateryna Bondarenko,0.0294117647058823,0.0588235294117647,0.673469387755102,0.8888888888888888,0.9,0.5,1,1,0,0,-1.821394072930922,0.5036960666440498
202488,Valentyna Ivakhnenko,0.0,0.073170731707317,0.4285714285714285,0.875,0.5,0.0999999999999999,1,0,0,0,0.8855671157552434,1.0879340969247568
201465,Kirsten Flipkens,0.0352112676056338,0.0306970025279884,0.6251298026998962,0.5007530120481928,0.5334382376081825,0.4434042553191489,154,48,12,13,-0.7134483560917434,-0.2006829784379943
201666,Cagla Buyukakcay,0.0104166666666666,0.0,0.5373134328358209,0.7,0.4444444444444444,0.1999999999999999,1,0,0,0,0.0281954605059675,0.0676196728998305
201554,Vitalia Diatchenko,0.0,0.0925925925925925,0.6904761904761905,1.0,0.6,0.3076923076923077,1,1,0,0,-0.6238862279459032,0.9804935404458484
201672,Nigina Abduraimova,0.0350877192982456,0.087719298245614,0.5405405405405406,0.8181818181818182,0.6923076923076923,0.4,1,0,0,0,-0.5964329361472639,0.8148918795721537
201456,Olga Savchuk,0.0666666666666666,0.0444444444444444,0.8846153846153846,0.7272727272727273,1.0,0.5714285714285714,1,1,0,0,-3.391208448996601,0.521371494916255
201597,Kurumi Nara,0.0,0.0303030303030303,0.4888888888888889,0.75,0.4285714285714285,0.0,1,0,0,0,0.7469573547451226,0.8423937701786447
206255,Patricia Maria Tig,0.0212765957446808,0.1489361702127659,0.5666666666666667,0.0,0.5,0.7,1,1,0,0,0.7328062067628826,-0.4618982834637717
203549,Olga Ianchuk,0.0196078431372549,0.1176470588235294,0.4324324324324324,0.0,0.3,0.5,1,0,0,0,1.7187940133802244,-0.412178989585691
202684,Lin Zhu,0.021505376344086,0.075268817204301,0.5918367346938775,0.6,0.3636363636363636,0.4,1,1,0,0,0.1493917142396609,0.1519864126766
201697,Kristyna Pliskova,0.086021505376344,0.1182795698924731,0.6666666666666666,0.0,0.6,0.6363636363636364,1,0,0,0,-0.8669946429967704,0.1191349767892584
202499,Donna Vekic,0.0496149614961496,0.0755775577557755,0.6626578472639808,0.5352319436288901,0.5457115928369463,0.4570610687022901,142,40,10,13,-0.865802494795999,0.3538265368805388
201212,Francesca Schiavone,0.0291508238276299,0.0682600036212203,0.6352242744063324,0.5376955903271693,0.5175953079178885,0.4385185185185185,89,11,19,3,-0.4481429152033042,0.1318343591308217
201516,Evgeniya Rodina,0.0,0.0769230769230769,0.7333333333333333,0.5,1.0,0.5714285714285714,1,1,0,0,-1.4326975908010575,-0.017705178878414
211472,Oleksandra Korashvili,0.0588235294117647,0.088235294117647,0.7727272727272727,0.6,0.0,0.6,1,1,0,0,-0.5476878470903849,-0.1957455994694198
214842,Zuleykha Safarova,0.0,0.1282051282051282,0.4444444444444444,0.8571428571428571,0.4,0.0,1,0,0,0,1.468955739749141,1.793972791994194
