id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches,Y1,Y2
101723,Magnus Larsson,0.0823365290433646,0.0293253391113353,0.7362780728729849,0.5647100739289214,0.6426536426536427,0.3997276132107592,452,-1.590721518058684,-0.3570302068904175
101414,Boris Becker,0.1232304685186282,0.0566546229935438,0.7984091730799029,0.5810172206647978,0.6695116168800379,0.4027061855670103,440,-2.698269093909687,0.6864554811988541
100946,Slobodan Zivojinovic,0.143491124260355,0.0355029585798816,0.7628865979381443,0.6008064516129032,0.7333333333333333,0.409090909090909,12,-3.0281672692100705,0.1425550958812518
101256,Mark Kratzmann,0.0459418070444104,0.0490045941807044,0.7147335423197492,0.5833333333333334,0.5740740740740741,0.1999999999999999,8,-0.6149915220726381,0.375748136146475
101234,Patrik Kuhnen,0.0648854961832061,0.0500673551863493,0.7011968633924887,0.4797109505280711,0.5841584158415841,0.3498098859315589,54,-0.7397141149866606,0.2824779259597616
101421,Veli Paloheimo,0.0203821656050955,0.0318471337579617,0.5956607495069034,0.4495798319327731,0.5677966101694916,0.3150684931506849,11,0.725674086803618,-0.5525822815574827
101889,Todd Woodbridge,0.0384146778470579,0.0520318211137389,0.6977263132501056,0.5556906861254687,0.6018518518518519,0.4297551789077213,350,-0.4939969769096713,-0.237164382429345
101703,Guillaume Raoux,0.0500365230094959,0.0413623082542001,0.6913451511991658,0.5213530655391121,0.5467032967032966,0.2974910394265233,134,-0.3791081968016087,0.0619366341521524
101274,Udo Riglewski,0.0446791226645004,0.041429731925264,0.6500691562932227,0.4648526077097505,0.5138888888888888,0.3950617283950617,18,0.1442766395439671,-0.1711212296742386
101843,Sergi Bruguera,0.0514912398020596,0.0228968837769158,0.7019678805700068,0.5458521346754599,0.5989110707803993,0.4576598311218335,553,-0.7476244443467014,-0.887125684430521
102148,Fabrice Santoro,0.039487296382669,0.0286686188213427,0.6767495591901258,0.5517762660619804,0.6049382716049383,0.4212632677918914,752,-0.4046026439740635,-0.8110919636937391
101285,Thierry Champion,0.0172869147659063,0.0168067226890756,0.5661764705882353,0.4910569105691056,0.4769230769230769,0.3949843260188087,58,1.1838200346795402,-1.119810184283552
101900,Nicklas Kulti,0.0590546493630194,0.0419097511608524,0.6887117621714778,0.4907271121577863,0.5592105263157895,0.3121597096188747,106,-0.5007168356692575,0.1330900153919274
102000,Aki Rahunen,0.0119284294234592,0.0536779324055666,0.5794701986754967,0.4596273291925465,0.48,0.3157894736842105,8,1.2780930774675263,0.0020998834495593
101529,Michael Stich,0.0996579458260146,0.046963113617454,0.7823029113509977,0.5947857880931563,0.6736792893875643,0.4124352331606218,459,-2.284702586577544,0.1734475385977582
101179,Jean Philippe Fleurian,0.0385185185185185,0.0407407407407407,0.6297909407665505,0.4974683544303797,0.5688259109311741,0.3232758620689655,50,0.1668376012430464,-0.2159007644742501
101332,Gilad Bloom,0.0308433734939759,0.0346987951807228,0.6316998468606432,0.5183553597650514,0.5606694560669456,0.3617021276595744,32,0.24995046637869,-0.5414123937364366
101776,Sandon Stolle,0.0740015661707126,0.0673453406421299,0.7074737910043963,0.5013989927252378,0.5614035087719298,0.3087248322147651,62,-0.833761922076543,0.9031908893582684
101727,Jason Stoltenberg,0.0697650904923999,0.044487883792255,0.7387791212031849,0.5490299359143184,0.6181307661452066,0.428766655278442,393,-1.302061714755438,-0.1040438160447542
101797,Jacco Eltingh,0.095374539500614,0.0457283199812876,0.7398952095808383,0.5570183241416118,0.6385809312638581,0.3689320388349514,217,-1.753653713000605,0.2570278084217607
101061,Jimmy Arias,0.0249886415265788,0.038391640163562,0.6409505208333334,0.5666089965397924,0.5833333333333334,0.4330357142857143,59,0.1241912256151925,-0.7708972163017508
101511,Horst Skoff,0.0438889982286951,0.033556386538083,0.6710261569416499,0.5603224128965159,0.5870646766169154,0.4174147217235189,156,-0.3732839902484268,-0.638069354998848
101185,Mark Woodforde,0.0586110543174538,0.0435153002112724,0.7195789223266326,0.5522547362803523,0.6260038240917782,0.3988239363542026,383,-1.0279955262802405,-0.192091419022288
101440,Mark Koevermans,0.0380952380952381,0.0343915343915343,0.627689429373246,0.462787550744249,0.4848484848484848,0.3309352517985612,27,0.5013927175885328,-0.2226596294176729
101441,Martin Sinner,0.0466963151207115,0.0743329097839898,0.6798603026775321,0.5329391891891891,0.515625,0.28,44,-0.1055190896448203,0.8990106887900581
101117,Eric Jelen,0.0202247191011235,0.0367041198501872,0.6002227171492205,0.512,0.573170731707317,0.3647058823529412,19,0.5941964924890437,-0.6502778358326328
101235,Paul Haarhuis,0.0570008460236886,0.0283770445572476,0.7081698389458272,0.5500524859242294,0.6183832581042266,0.4327881930594336,387,-0.928582441238488,-0.6676222794686885
101242,Brad Pearce,0.0129390018484288,0.0369685767097966,0.6012084592145015,0.5168539325842697,0.4931506849315068,0.3863636363636363,9,0.952746340425421,-0.6450693768342334
101793,Jim Courier,0.0655634586538926,0.0320075482653505,0.7471770111362044,0.5857013195559589,0.6385408990420044,0.4292841107508106,558,-1.4321037829061831,-0.5149444747495517
101123,Alexander Mronz,0.0726764500349406,0.0426275331935709,0.7016539440203562,0.5074235807860262,0.5284280936454849,0.2890625,39,-0.7046917498693105,0.3697087206987487
101320,Magnus Gustafsson,0.0388511535308584,0.0448823047195221,0.6874859481091776,0.5789219940217916,0.6044429708222812,0.4423879040667362,483,-0.4823167852345812,-0.4935805535913705
101377,Christian Bergstrom,0.0294508835265057,0.0292608778263347,0.6066686338152848,0.4844574780058651,0.5258764607679466,0.3643410852713178,67,0.5942760003026387,-0.6333775038928631
