id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches,Y1,Y2
201506,Sara Errani,0.001301447860745,0.0215552301935903,0.5565749235474006,0.5075560187597707,0.5306748466257669,0.5448392554991539,196,-0.2537246745552195,-1.4049194872601818
201347,Jelena Jankovic,0.0406565931079465,0.0510925100554408,0.6551843517396573,0.5575221238938053,0.5701311806256307,0.4924874791318865,159,-1.2399368182823405,0.0769194821229575
201419,Na Li,0.0306298533218291,0.0522001725625539,0.6562703053931124,0.6027820710973725,0.6069868995633187,0.5540983606557377,34,-1.298497356966401,-0.2563946257993546
201458,Victoria Azarenka,0.0413272742862042,0.0633627711566492,0.6666237776634071,0.5517680790060528,0.5833333333333334,0.4906682721252258,189,-1.2459546264796535,0.2724187939304248
201520,Petra Kvitova,0.0683121416105709,0.0652705061082024,0.7083874107722258,0.6099235450148229,0.5966435185185185,0.4498665650019062,325,-1.9127347633579384,0.9917547726247758
201493,Angelique Kerber,0.0222306749503402,0.0417987405435104,0.6473731650785475,0.5564595314910927,0.5820835022294285,0.4746240601503759,375,-0.9701146011087056,-0.4828869056016227
201474,Agnieszka Radwanska,0.036635565312843,0.0218852908891328,0.6588946459412781,0.5148475120385233,0.5810276679841897,0.5132301547678482,251,-1.3792173179205889,-0.4175829822537654
200033,Serena Williams,0.1286304150045489,0.0515081531247813,0.7539804222196014,0.5796329188869154,0.6161434977578475,0.4737883283877349,245,-3.2243975694048155,2.235971427792526
205925,Aliaksandra Sasnovich,0.0252331321996708,0.0677454744925946,0.5756637168141593,0.5105633802816901,0.4686868686868687,0.3391959798994974,53,-0.0234592833037923,0.0720350499737588
202628,Maryna Zanevska,0.0212765957446808,0.125,0.5770925110132159,0.5306122448979592,0.4852941176470588,0.4,6,0.2600257215729983,0.6835570998566096
202536,Ana Bogdan,0.0306122448979591,0.0343716433941997,0.5556478405315615,0.4770017035775127,0.4885496183206106,0.3243243243243243,29,-0.2195664672577779,-0.3020878310066968
214082,Darya Kasatkina,0.0208319057082162,0.0547522784896868,0.5993070416794049,0.548565676899849,0.5243488108720272,0.4922923918448533,215,-0.5201385620465141,-0.3803883959532028
202434,Aleksandra Krunic,0.0192444761225944,0.0310049893086243,0.5632839224629419,0.4722513089005236,0.4924242424242424,0.2988929889298892,43,-0.0630351846028528,-0.5686661417724546
201504,Julia Goerges,0.0914889739383998,0.0485997205516068,0.7270405448547409,0.5574216250799744,0.6197278911564625,0.4358126721763086,242,-2.4512996655383783,1.3372236246849938
203552,Risa Ozaki,0.0081521739130434,0.0317028985507246,0.5215123859191656,0.4781144781144781,0.4601226993865031,0.4505494505494505,18,0.1863473932577155,-0.9987345212774548
201498,Karin Knapp,0.0405679513184584,0.0764029749830966,0.6046770601336303,0.5064935064935064,0.4472361809045226,0.4070796460176991,23,-0.3800005486310108,0.5689013770529203
201481,Tamira Paszek,0.011605415860735,0.0502901353965183,0.572289156626506,0.5,0.4722222222222222,0.4418604651162791,7,-0.0272422168150516,-0.5740776273346516
201596,Johanna Larsson,0.0218579234972677,0.0606844981305723,0.5474060822898033,0.4970817120622568,0.4904580152671756,0.3573667711598746,54,0.0570619637874343,-0.1998703416631917
201527,Stefanie Voegele,0.0388044048243314,0.0388044048243314,0.6035120147874307,0.4704301075268817,0.5203252032520326,0.3208955223880597,27,-0.6053830271491233,0.0137691872610353
201555,Polona Hercog,0.0362606232294617,0.0515580736543909,0.6131846825012118,0.50625,0.5512820512820513,0.4015151515151515,51,-0.7480077297175215,0.0227725794549804
201693,Timea Babos,0.0482909379968203,0.0524642289348171,0.6185400516795866,0.4831932773109244,0.5031446540880503,0.3341176470588235,71,-0.7319146764953803,0.4518599756631805
201556,Lucie Hradecka,0.0699177438307873,0.0710928319623971,0.6849775784753364,0.4874446085672083,0.5398230088495575,0.3401360544217687,27,-1.36586086400554,1.286429421962789
202418,Lara Arruabarrena,0.0177103099304237,0.0398481973434535,0.5599400599400599,0.4814814814814814,0.5345911949685535,0.3830645161290322,48,-0.1854689017043457,-0.6232694826659023
203533,Anna Karolina Schmiedlova,0.0235294117647058,0.0764705882352941,0.575139146567718,0.4842681258549932,0.5037783375314862,0.3565891472868217,39,-0.0099928817965975,0.1040823532293848
201537,Patricia Mayr Achleitner,0.0076923076923076,0.0461538461538461,0.5510204081632653,0.9444444444444444,0.6,0.3,2,-0.5667908691760658,-1.0140531727455222
202671,Cristina Andreea Mitu,0.0109649122807017,0.0723684210526315,0.567741935483871,0.625,0.5441176470588235,0.2909090909090909,7,0.0142640953128083,-0.3124177961270407
202482,Barbara Haas,0.0211416490486257,0.0739957716701902,0.5529801324503312,0.4919354838709677,0.5681818181818182,0.375,6,-0.0713915586067581,-0.1340795338605108
202470,Annika Beck,0.0102960102960102,0.0557700557700557,0.5023923444976076,0.4393939393939394,0.4262734584450402,0.4198473282442748,37,0.5620108738164706,-0.5733051505574484
202694,Teliana Pereira,0.0154241645244215,0.0257069408740359,0.515702479338843,0.4655172413793103,0.46875,0.4098360655737705,16,0.1044476465160882,-0.8971925654378501
202653,Denisa Allertova,0.0233485193621867,0.0785876993166287,0.5731153496821072,0.5392156862745098,0.4898785425101215,0.3984375,27,-0.0735234637187699,0.07830180094676
202489,Carina Witthoeft,0.0221664575491426,0.0702634880803011,0.572709801409353,0.4923076923076923,0.4688427299703264,0.3593073593073593,38,0.0523741289263177,0.021178111253377
203575,Danka Kovinic,0.0416012558869701,0.0612244897959183,0.6227501799856011,0.4884884884884884,0.5128939828080229,0.3671497584541062,41,-0.658816602347395,0.3848628992105547
