id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches,hard,clay,grass,Y1,Y2
104925,Novak Djokovic,0.0777404921700223,0.03831096196868,0.7539130434782608,0.5955947136563877,0.6707818930041153,0.4346793349168646,46,30,11,0,-0.925807000507102,0.0617450576233744
104745,Rafael Nadal,0.0620553359683794,0.0260869565217391,0.7466007416563659,0.6351674641148325,0.675,0.4928057553956835,34,18,9,0,-0.8005352600527867,-0.4223597250408434
105138,Roberto Bautista Agut,0.0413293566254793,0.0230080954409884,0.6806349206349206,0.6064425770308123,0.6310679611650486,0.4208754208754208,28,16,4,0,0.0350474926168755,-0.6270215428090081
105583,Dusan Lajovic,0.0350877192982456,0.0175438596491228,0.6,0.0,0.5,0.4,1,0,0,0,1.356194488026239,0.2463291553298978
106421,Daniil Medvedev,0.1261997867045858,0.0351937433345183,0.7794031597425395,0.5965447154471545,0.6368715083798883,0.4153354632587859,38,28,0,0,-1.5337356828808684,0.3887714021691009
111575,Karen Khachanov,0.0760309278350515,0.0296391752577319,0.7232546459065796,0.5577492596248766,0.6041666666666666,0.450199203187251,35,16,4,0,-0.5469070225647056,-0.0252842915930458
200282,Alex De Minaur,0.0384800384800384,0.0303030303030303,0.6974198592650508,0.5480769230769231,0.6170212765957447,0.4293478260869565,23,13,0,0,0.0269170851372819,-0.3101637346108503
106401,Nick Kyrgios,0.208284023668639,0.029585798816568,0.7814569536423841,0.6153846153846154,0.7222222222222222,0.5,9,6,0,0,-2.7179619779706816,0.6337381440077319
133430,Denis Shapovalov,0.1060449050086355,0.0652849740932642,0.7525714285714286,0.594048884165781,0.6415929203539823,0.3639575971731449,32,12,5,0,-1.07381513481717,1.0039599928334215
200000,Felix Auger Aliassime,0.1135508155583437,0.0548933500627352,0.7477832512315271,0.5987654320987654,0.6628352490421456,0.3468634686346863,42,22,1,0,-1.1731665418163482,0.7115008475895
106043,Diego Schwartzman,0.0169594185342216,0.036038764385221,0.6489618541767262,0.5556561085972851,0.5683890577507599,0.4666666666666667,41,10,15,0,0.6665860414966064,-0.2558348573819242
105550,Guido Pella,0.0461538461538461,0.0615384615384615,0.6666666666666666,0.7142857142857143,0.4,0.1666666666666666,1,0,0,0,0.7667265684852804,0.600621812311219
105554,Daniel Evans,0.0300751879699248,0.0075187969924812,0.6477272727272727,0.6538461538461539,0.5555555555555556,0.2307692307692307,1,1,0,0,0.6461679889324938,-1.1712544435642676
111815,Cameron Norrie,0.0212765957446808,0.0851063829787234,0.5714285714285714,0.0,0.2857142857142857,0.1666666666666666,1,0,0,0,2.436619652513979,2.253680309447534
105676,David Goffin,0.0616113744075829,0.0459715639810426,0.710016155088853,0.5243741765480896,0.5783783783783784,0.4108910891089109,23,12,0,0,-0.173261461624212,0.3852721144775039
106293,Kimmer Coppejans,0.0545454545454545,0.0181818181818181,0.575,0.0,0.5,0.3333333333333333,1,0,0,0,1.3628571377003211,0.3330259782509634
104792,Gael Monfils,0.0870076425631981,0.0523221634332745,0.7183708838821491,0.5809312638580931,0.6328125,0.4035087719298246,23,16,0,0,-0.6547008497619844,0.5414592526212785
105332,Benoit Paire,0.1146744412050534,0.0733722060252672,0.7538185085354897,0.5282051282051282,0.605,0.3756345177664975,23,9,1,0,-1.048451206262306,1.4575882305987784
104731,Kevin Anderson,0.1619047619047619,0.0285714285714285,0.7323943661971831,0.9230769230769232,0.875,0.25,1,0,0,0,-2.252360090245236,-0.6415953883130149
144750,Lloyd Harris,0.15625,0.0520833333333333,0.7301587301587301,0.0,0.75,1.0,1,0,0,0,-1.820766257841254,1.934486157919544
106426,Cristian Garin,0.055817610062893,0.0507075471698113,0.7005758157389635,0.5539739027283511,0.5555555555555556,0.4031007751937985,30,3,15,0,-0.004250530682245,0.4596400571631038
111797,Nicolas Jarry,0.125,0.0138888888888888,0.6666666666666666,0.8333333333333334,0.5714285714285714,0.5,1,0,0,0,-0.8680841034031015,-0.5158585875119216
104468,Gilles Simon,0.0285714285714285,0.0714285714285714,0.7446808510638298,0.0,0.625,0.25,1,1,0,0,0.3516701768323975,1.5129537274408882
106415,Yoshihito Nishioka,0.0,0.0289855072463768,0.6666666666666666,0.0,0.4,0.25,1,0,0,0,1.6496376667190509,0.5253106792268708
104424,Go Soeda,0.0666666666666666,0.0166666666666666,0.6842105263157895,0.0,0.625,0.0,1,0,0,0,0.473349066648927,0.1023264132476649
105932,Nikoloz Basilashvili,0.0519480519480519,0.0649350649350649,0.6216216216216216,0.625,0.5,0.6,1,0,0,0,0.5062491245652305,0.8178301501660621
106223,Aleksandre Metreveli,0.0746268656716417,0.0298507462686567,0.4878048780487805,0.8571428571428571,0.5714285714285714,0.0,1,0,0,0,1.2538270088457224,-0.9050045636269312
104655,Pablo Cuevas,0.1509433962264151,0.0377358490566037,0.6388888888888888,0.0,0.5,0.0,1,0,0,0,0.1667519713290028,1.4266979473807964
208364,Franco Roncadelli,0.0,0.0,0.4838709677419355,0.0,0.4,0.3333333333333333,1,0,0,0,2.770819876154808,-0.4351113329427973
105899,Martin Cuevas,0.0769230769230769,0.0307692307692307,0.5853658536585366,0.8888888888888888,0.5,0.0,1,0,0,0,0.7226009725662528,-0.656300313457098
104327,Steve Darcis,0.108695652173913,0.0217391304347826,0.84375,0.0,0.0,0.5,1,1,0,0,0.0040460936043067,2.1705328816876643
105777,Grigor Dimitrov,0.050423402617398,0.0508083140877598,0.7025355596784169,0.5912938331318017,0.6567796610169492,0.4471544715447154,30,12,6,0,-0.2485372224823493,0.1944402462312668
