id,name,year,position
200293,Martina Navratilova,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 2004, 2005]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 2, 3, 364, 382]"
200414,Steffi Graf,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999]","[22, 6, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 9, 3]"
200572,Gabriela Sabatini,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996]","[72, 10, 9, 6, 4, 3, 3, 3, 3, 3, 5, 5, 6]"
200539,Jana Novotna,"[1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999]","[171, 46, 28, 10, 10, 6, 7, 6, 4, 4, 3, 2, 2, 3]"
200017,Arantxa Sanchez Vicario,"[1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]","[81, 45, 18, 4, 3, 4, 4, 2, 2, 1, 2, 3, 4, 4, 8, 8, 14, 52]"
200049,Conchita Martinez,"[1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006]","[39, 7, 7, 7, 7, 4, 3, 2, 2, 4, 6, 8, 3, 5, 34, 12, 16, 31, 28]"
200652,Monica Seles,"[1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004]","[84, 6, 2, 1, 1, 1, 8, 1, 1, 2, 4, 3, 3, 4, 4, 7, 59]"
200096,Mary Pierce,"[1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007]","[236, 100, 26, 12, 12, 5, 3, 4, 7, 5, 5, 3, 7, 47, 32, 23, 5, 5, 79]"
200128,Lindsay Davenport,"[1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]","[332, 157, 20, 6, 6, 5, 2, 1, 1, 1, 1, 1, 4, 1, 1, 1, 25, 21, 35]"
200001,Martina Hingis,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2006, 2007]","[83, 16, 4, 1, 1, 1, 1, 1, 3, 10, 7, 6]"
