id,name,year,position
200293,Martina Navratilova,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 2004, 2005]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 2, 3, 364, 382]"
200259,Chris Evert,"[1984, 1985, 1986, 1987, 1988, 1989, 1990]","[2, 1, 2, 2, 3, 3, 10]"
200381,Andrea Jaeger,"[1984, 1986]","[3, 112]"
200397,Tracy Austin,"[1984, 1993, 1994]","[4, 115, 78]"
200366,Sylvia Hanika,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991]","[6, 18, 21, 14, 14, 16, 33, 124]"
200209,Wendy Turnbull,"[1984, 1985, 1986, 1987, 1988, 1989, 1990]","[5, 3, 14, 15, 23, 148, 266]"
200348,Hana Mandlikova,"[1984, 1985, 1986, 1987, 1988, 1989, 1990]","[3, 3, 3, 3, 5, 14, 13]"
200337,Virginia Ruzici,"[1984, 1985, 1986, 1987, 1988]","[16, 48, 40, 135, 139]"
200150,Evonne Cawley,[1984],[35]
200414,Steffi Graf,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999]","[22, 6, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 9, 3]"
