id,name,grandSlamFinals,grandSlamTitles,list
104925,Novak Djokovic,21,13,"('Australian Open', 'Wimbledon', 'US Open', 'Australian Open', 'Australian Open', 'Wimbledon', 'Australian Open', 'Wimbledon', 'US Open', 'Australian Open', 'Roland Garros', 'Wimbledon', 'US Open')"
104745,Rafael Nadal,16,11,"('Roland Garros', 'Wimbledon', 'US Open', 'Roland Garros', 'Roland Garros', 'Roland Garros', 'US Open', 'Roland Garros', 'Roland Garros', 'US Open', 'Roland Garros')"
103819,Roger Federer,9,5,"('Australian Open', 'Wimbledon', 'Australian Open', 'Wimbledon', 'Australian Open')"
104918,Andy Murray,10,3,"('US Open', 'Wimbledon', 'Wimbledon')"
104527,Stan Wawrinka,4,3,"('Australian Open', 'Roland Garros', 'US Open')"
105227,Marin Cilic,3,1,"('US Open',)"
104417,Robin Soderling,1,0,()
104607,Tomas Berdych,1,0,()
103970,David Ferrer,1,0,()
105453,Kei Nishikori,1,0,()
105683,Milos Raonic,1,0,()
104731,Kevin Anderson,2,0,()
106233,Dominic Thiem,1,0,()
105223,Juan Martin del Potro,1,0,()
