id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches,Y1,Y2,Y3,Y4,Y5,Y6
105992,Ryan Harrison,0.1090449954086317,0.0413223140495867,0.7461715160796325,0.5814552479072762,0.6525679758308157,0.3924914675767917,55,-1.4599456027168007,0.4218701831087703,,,,
104919,Leonardo Mayer,0.0810523518469306,0.0498272654796704,0.7370288248337029,0.6038022813688213,0.6076642335766423,0.3677932405566601,89,-0.8142336264877363,0.4979408128789001,,,,
111577,Jared Donaldson,0.0659567159051872,0.0577121264170388,0.7266666666666667,0.5850891410048622,0.576271186440678,0.4025974025974026,36,-0.4006938728246685,0.4569333437983985,,,,
111442,Jordan Thompson,0.0682800345721694,0.0247767214059348,0.6999561979851073,0.5302961275626423,0.6020066889632107,0.3826086956521739,83,-0.6173034375912333,-0.5364701757062135,,,,
104797,Denis Istomin,0.0680009645526887,0.0212201591511936,0.7173601147776184,0.5410358565737052,0.6268656716417911,0.3482758620689655,52,-0.8520322240601224,-0.5089676831150117,,,,
106000,Damir Dzumhur,0.0322884434279564,0.0369971747612,0.6496504977758949,0.5388773388773389,0.5597964376590331,0.3821478382147838,101,0.4471500100747582,-0.608562003113225,,,,
200282,Alex De Minaur,0.0497780296590157,0.0330594124870123,0.7145510835913312,0.5814755838641189,0.6203143893591294,0.4042105263157894,132,-0.4616583613405449,-0.4832903631398529,,,,
105449,Steve Johnson,0.085322560900967,0.0368466152527849,0.7396116099394445,0.5749754982032016,0.6513911620294599,0.3770197486535008,100,-1.1628467274288043,0.0866220200656069,,,,
111581,Michael Mmoh,0.0587612493382742,0.0476442562202223,0.6864608076009501,0.5318352059925093,0.5666666666666667,0.4195804195804196,21,-0.0983948051936144,-0.0822437265588632,,,,
105643,Federico Delbonis,0.0418722684336669,0.0483575355984773,0.679862700228833,0.5696842105263158,0.6081871345029239,0.382258064516129,84,0.0487933565458378,-0.1280691469985311,,,,
104999,Mischa Zverev,0.0716424294268605,0.0350727117194183,0.7049700387733522,0.5404919016196761,0.5844444444444444,0.3444730077120822,66,-0.5465265528867085,-0.0572549209098415,,,,
105441,John Patrick Smith,0.0779220779220779,0.0077922077922077,0.620817843866171,0.6019417475728155,0.4285714285714285,0.375,5,0.4073217912280982,-0.903682296112168,,,,
105238,Alexandr Dolgopolov,0.0979689366786141,0.053763440860215,0.7290748898678414,0.541033434650456,0.5833333333333334,0.4492753623188406,10,-0.8953121195244761,0.4804970889465185,,,,
106043,Diego Schwartzman,0.0273743441563379,0.0378678427496007,0.6686761514347721,0.5585730724971232,0.5760257441673371,0.4319526627218935,165,0.328529875874278,-0.7364366250592678,,,,
104547,Horacio Zeballos,0.0719131614654002,0.0330167345092718,0.7179856115107913,0.578167115902965,0.6787564766839378,0.4358974358974359,25,-0.9578878292133288,-0.3995441001026899,,,,
124014,Ernesto Escobedo,0.1186721991701244,0.0464730290456431,0.7615499254843517,0.6332622601279317,0.6144578313253012,0.2539682539682539,14,-1.4763421481489645,1.1891196929334036,,,,
105051,Matthew Ebden,0.0909998004390341,0.0682498503292756,0.7241265655899802,0.5640711220110362,0.5833333333333334,0.4285714285714286,62,-0.6414692888083288,0.9026572059528758,,,,
126207,Frances Tiafoe,0.0772377520210382,0.0303886237459822,0.7090853000154249,0.5642877780988154,0.6113074204946997,0.37997432605905,120,-0.7528239577658167,-0.2365252034668882,,,,
111202,Hyeon Chung,0.0509190788083667,0.0346503274878512,0.7040748162992652,0.5666879387364391,0.5786802030456852,0.4417040358744395,61,-0.251021554565381,-0.5449756438689884,,,,
104180,Gilles Muller,0.1666666666666666,0.0531746031746031,0.7865459249676585,0.5550181378476421,0.6507936507936508,0.2699386503067484,28,-2.3846512773083925,1.773197840120362,,,,
106378,Kyle Edmund,0.0789386401326699,0.029519071310116,0.7366030881017257,0.5685793188094508,0.6268656716417911,0.382051282051282,116,-1.0409950255454543,-0.1983347795399899,,,,
133430,Denis Shapovalov,0.0986882245271507,0.0629957291031116,0.7580080404616781,0.6072368421052632,0.6550348953140578,0.381578947368421,161,-1.244583489073558,1.0268825996049027,,,,
105357,John Millman,0.0547323858482007,0.024896683802036,0.696106048053024,0.5673817381738174,0.626984126984127,0.4044032444959443,118,-0.4783758686793644,-0.7286676453308472,,,,
105166,Peter Polansky,0.0509325681492109,0.0351506456241033,0.6982323232323232,0.5407407407407407,0.6060606060606061,0.282051282051282,17,-0.3222706196572629,-0.0995796755105226,,,,
105870,Yannick Hanfmann,0.0491251682368775,0.0296096904441453,0.7053191489361702,0.5555555555555556,0.5982905982905983,0.3383458646616541,19,-0.3572822117357964,-0.415663300031581,,,,
105683,Milos Raonic,0.2373336446416063,0.049848237216904,0.8316354880533432,0.657393850658858,0.6850828729281768,0.3539156626506023,120,-3.6272890190620606,2.2753611314425144,,,,
106401,Nick Kyrgios,0.2138696255201109,0.0446601941747572,0.7914572864321608,0.6065808297567954,0.6737967914438503,0.4263157894736842,85,-3.0843745026347245,1.5527862295876993,,,,
105777,Grigor Dimitrov,0.0750193348801237,0.0518174787316318,0.7350069735006973,0.5722855428914218,0.6354916067146283,0.4011111111111111,117,-0.8353043323395399,0.3454218957244823,,,,
106432,Borna Coric,0.0810468169881372,0.026260979806212,0.7349672271302365,0.5778435063189029,0.6350184956843403,0.4144050104384134,138,-1.098571491225085,-0.3721145164919458,,,,
105807,Pablo Carreno Busta,0.0512186506534793,0.0226951607205934,0.6920547224414628,0.5633516961438098,0.644927536231884,0.398876404494382,137,-0.488254077323461,-0.8353285793401962,,,,
